Unnamed: 0_level_0,Total Sample (n = 28),Total Sample (n = 28),MCI (n = 14),MCI (n = 14),CN (n = 14),CN (n = 14),Time,Group,Group × Time
Unnamed: 0_level_1,Before,After,Before,After,Before,After,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1
Unnamed: 0_level_2,Mean ± SD,Mean ± SD,Mean ± SD,Mean ± SD,Mean ± SD,Mean ± SD,p-value (η2p),p-value (η2p),p-value (η2p)
Cardiorespiratory fitness,,,,,,,,,
V̇O2peak (ml/kg/min),18.8 ± 4.4,20.5 ± 3.7,18.4 ± 3.8,20.6 ± 3.2,19.7 ± 5.0,20.7 ± 4.2,0.023 (0.203),0.649 (0.009),0.334 (0.040)
Subjective well-being,,,,,,,,,
Life satisfaction scale,26.1 ± 6.0,26.6 ± 5.3,24.6 ± 5.7,27.0 ± 4.2,27.7 ± 6.1,26.2 ± 6.3,0.610 (0.010),0.574 (0.012),0.038 (0.155)
Depression,,,,,,,,,
GDS,4.8 ± 3.1,4.6 ± 3.3,6.4 ± 3.6,5.7 ± 2.7,3.4 ± 1.3,3.9 ± 3.6,0.904 (0.0006),0.013 (0.239),0.459 (0.024)
Cognitive function,,,,,,,,,
DRS-2 total,35.7 ± 1.3,35.9 ± 1.2,35.3 ± 1.7,35.8 ± 1.0,36.2 ± 0.8,36.0 ± 1.4,0.583 (0.012),0.171 (0.071),0.327 (0.037)
RAVLT trial 1–5,43.4 ± 13.7,45.4 ± 14.6,37.2 ± 13.7,39.6 ± 15.8,50.1 ± 10.3,51.7 ± 10.4,0.221 (0.059),0.013 (0.221),0.803 (0.003)
RAVLT immediate recall,8.6 ± 4.3,9.1 ± 4.2,6.5 ± 4.1,7.2 ± 4.7,10.9 ± 3.5,11.1 ± 2.3,0.234 (0.056),0.008 (0.251),0.538 (0.015)
RAVLT delayed recall,8.3 ± 4.6,8.8 ± 4.5,6.3 ± 4.5,6.7 ± 4.8,10.5 ± 3.9,11.1 ± 3.1,0.407 (0.028),0.008 (0.249),0.825 (0.002)
LM immediate recall,36.1 ± 13.3,39.6 ± 13.5,29.0 ± 13.6,33.3 ± 16.4,43.5 ± 7.7,46.1 ± 4.1,0.007 (0.259),0.004 (0.283),0.330 (0.038)
LM delayed recall,22.2 ± 10.0,24.3 ± 10.3,17.4 ± 10.5,19.4 ± 11.2,27.4 ± 6.3,29.6 ± 6.1,0.061 (0.134),0.005 (0.274),0.934 (0.0002)
COWAT,38.4 ± 11.1,41.9 ± 12.2,34.9 ± 11.8,41.6 ± 13.8,41.6 ± 9.8,42.2 ± 11.0,0.014 (0.234),0.425 (0.028),0.037 (0.175)
Semantic fluency,17.3 ± 6.8,17.6 ± 8.1,14.2 ± 7.4,13.7 ± 8.8,20.4 ± 4.5,21.4 ± 5.2,0.765 (0.004),0.007 (0.247),0.456 (0.022)
Clock drawing,2.0 ± 1.1,1.7 ± 0.8,2.5 ± 1.0,2.1 ± 0.8,1.5 ± 1.0,1.2 ± 0.7,0.050 (0.140),0.005 (0.262),0.499 (0.018)
