Study,RS fMRI acquisition parameters???,TVC analysis approach???,Study subjects???,Main findings
Abrol et al. (???),Six sites: Siemens Tim Trio 3T One site: GE Discovery MR750 3T 162 volumes TR = 2 s,"1. Group ICA decomposition in 47 relevant independent components of interest, classified into 7 functional networks 2. Sliding-window analysis, window length = 22 TRs (44 s), steps = 1 TR (2 s) 4. Clustering (five recurring states) performed using temporal ICA 3. Correlations with gray matter volumes",FBIRN Data Repository 151 schizophrenia patients 37 females (24.5%) mean age = 37.8 years 163 healthy subjects 46 females (28.2%) mean age = 36.9 years,"- Compared to healthy subjects, patients with schizophrenia exhibited higher TVC strength between: i) sensorimotor, precuneus and parietal areas; and ii) frontal, temporal and insular cortices - In patients, TVC abnormalities correlated with lower gray matter volumes"
Alderson et al. (???),Philips Intera MR 3T 140 volumes TR = 3 s,"1. Group ICA decomposition in nine relevant independent components of interest, subsequently segmented in 148 cortical regions from the Destrieux atlas (Destrieux et al., ???) 2. Time-frequency analysis 3. Graph theory: synchrony, global metastability, eigenvector centrality, clustering coefficient, local efficiency, and participation coefficient 4. Correlation with structural abnormalities",ADNI database 34 patients with Alzheimer's disease 18 females (52.9%) mean age = 73.79 years SD = 6.14 years 33 patients with mild cognitive impairment 13 females (39.4%) mean age = 73.61 years SD = 5.6 years 36 healthy controls 19 females (52.8%) mean age = 74.46 years SD = 5.51 years,"- In Alzheimer's disease patients, reduced synchrony was observed between right fronto-parietal regions, sensorimotor regions and DMN, together with overall reduced metastability - In patients, increased eigenvector centrality, clustering coefficient, local efficiency, and participation coefficient correlated with more severe structural damage"
Cai J. et al. (???),Siemens Trio 3T Unspecified volumes TR = 2 s,"1. Segmentation of 76 brain regions from the Desikan atlas (Desikan et al., ???) 2. Sliding-window analysis, window length = 30 TRs (60 s), steps = 2 TRs (4 s) 3. Graph theoretical analysis: global efficiency, clustering efficiency, modularity, assortativity, Fiedler value",69 Parkinson's disease patients 30 females (43.5%) mean age = 60 years SD = 9.8 years 29 healthy controls 13 females (43.5%) mean age = 58.3 years SD = 97.5 years,"- Compared to healthy subjects, patients with Parkinson's disease showed lower network connections (Fiedler value), modularity and global efficiency - Lower network connections in patients with Parkinson's disease correlated with disease severity"
Cetin et al. (???),Siemens Trio 3T 149 volumes TR = 2 s,"1. Group ICA decomposition in 39 relevant independent components of interest 2. Sliding-window analysis, window length = 31 TRs (62 s), steps = 1 TRs (2 s) k-means clustering (five recurring states) 3. Correlations with magnetoencephalography data and classification performance compared to static FC and magnetoencephalography",47 schizophrenia patients 13 females (27.7%) mean age = 35.18 years SD = 11.83 years 45 healthy controls 7 females (15.6%) mean age = 37.28 years SD = 13.86 years,"- Classification between schizophrenia patients and healthy controls improved with TVC (accuracy = 82.79%) compared to static FC metrics (accuracy = 70.33%) - Classification performance did not improve when using a combination of TVC and magnetoencephalography metrics (accuracy = 85.35%), compared to the combination of static FC and magnetoencephalography metrics (accuracy = 87.91%)"
Chen et al. (???),Philips Achieva 3T 170 volumes TR = 2 s,"1. Segmentation of left and right primary motor area, premotor cortex and supplementary motor area (spherical ROIs, radius = 5 mm) Sliding-window analysis, window length = 32TRs (64 s), steps = 1 TR (2 s) 2. Standard deviation of TVC across windows",70 stroke patients 45 right-sided lesions 23 females (32.9%) mean age = 58.44 years SD = 11.43 years 25 left-sided lesions 8 females (11.4%) mean age = 59.88 years SD = 12.96 years 55 healthy controls 26 females (37.1%) mean age = 56.73 years SD = 10.21 years,"- Compared to healthy controls, stroke patients showed TVC reductions between sensorimotor and visual-related cortices and between the sensorimotor and the limbic system - In stroke patients with right-sided lesions, reduced TVC between the right primary motor area and the left precentral gyrus correlated with more severe disability"
Damaraju et al. (???),6 sites: Siemens Tim Trio 3T 1 site: GE Discovery MR750 3T 162 volumes TR = 2 s,"1. Group ICA decomposition in 50 relevant independent components of interest, classified into 7 different functional networks 2. Sliding-window analysis, window length = 22 TRs (44 s), steps = 1 TR (2 s) 3. k-means clustering (five recurring states)",151 schizophrenia patients 37 females (24.5%) mean age = 37.8 years 163 healthy subjects46 females (28.2%) mean age = 36.9 years,"- Compared to healthy controls, schizophrenia patients showed: (i) higher dwell time in states characterized by overall low inter- and intra-network TVC strength; (ii) lower dwell time in states characterized by high correlations between visual, motor and auditory networks; and (iii) increased TVC between thalami and sensory networks"
Diez-Cirarda et al. (???),Philips Achieva TX 3T 214 volumes TR = 2.1 s,"1. Group ICA decomposition in 29 relevant independent components of interest, classified into seven functional networks 2. Sliding-window analysis, window length = 22 TRs (44.2 s), steps = 1 TR (2.1 s) 3. k-means clustering (two recurring states). Graph theory: global efficiency, local efficiency, clustering coefficient, betweenness centrality",37 patients with Parkinson's disease 12 with normal cognition 6 females (50%) mean age = 65.17 years SD = 8.31 years 23 with mild cognitive impairment 10 females (44%) mean age = 69.17 years SD = 4.48 years 26 healthy controls 8 females (31%) mean age = 68.31 years SD = 7.52 years,"- Compared to healthy controls, Parkinson's disease patients with mild cognitive impairment showed lower dwell time in a state characterized by overall low strength of inter- and intra-network connections, as well as higher number of transitions between states - Parkinson's disease patients with cognitive impairment also showed: (i) reduced clustering coefficient in the right precentral gyrus vs. healthy controls; and (ii) reduced betweenness centrality of the left paracentral gyrus vs. patients without cognitive impairment"
Du et al. (???),3 sites: Siemens Trio Tim 3T 2 sites: GE Signa HDx 3T 1 site: Siemens Allegra 3T 1 site: Philips 3T 100–210 volumes TR ranging from 1.5 to 3 s,"1. Segmentation of 116 brain regions from the AAL atlas (Tzourio-Mazoyer et al., ???) 2. Sliding-window analysis, window length = 20 TRs (ranging from 30 to 60 s) 3. GIG-ICA clustering (five recurring-states) 4. Correlations with cognitive scores",Bipolar and schizophrenia network on intermediate phenotypes 113 schizophrenia patients 57 females (50%) mean age = 35.57 years SD = 12.29 years 132 schizoaffective disorder patients75 females (57%) mean age = 36.23 years SD = 12.23 years 140 bipolar disorder with psychosis patients87 females (62%) mean age = 36 years SD = 12.57 years 238 healthy controls 138 females (58%) mean age = 38.15 years SD = 12.55 years,"- Compared to healthy controls (and bipolar patients), schizophrenia and schizoaffective disorder patients showed increased TVC between frontal with angular and postcentral areas, and reduced TVC between temporal and frontal areas - Compared with all remaining study groups, schizophrenia patients also showed reduced TVC between the cerebellum and subcortical and frontal areas - Reduced TVC between cerebellar and frontal areas correlated with higher symptom severity scores"
Du et al. (???),Siemens Tim Trio 3T 180 volumes TR = 2 s,"1. Segmentation of 116 brain regions from the AAL atlas (Tzourio-Mazoyer et al., ???) 2. Sliding-window analysis, window length = 20 TRs (40 s), steps = 1 TR (2 s) 3. GIG-ICA clustering (five recurring-states)",58 schizophrenia patients 20 females (35%) mean age = 21.8 years SD = 3.8 years 53 adults at high risk of developing schizophrenia 21 females (38%) mean age = 20.4 years SD = 4.5 years 70 healthy controls 29 females (41%) mean age = 21.9 years SD = 5.6 years,"- Compared to healthy controls, schizophrenia patients and adults with high risk of developing schizophrenia showed TVC alterations between motor, temporal, cerebellar, frontal and thalamic areas - Schizophrenia patients, compared to adults with high risk of developing schizophrenia, also showed increased TVC between the cerebellum, temporal cortex, frontal gyri and thalami - Increased TVC between temporal and cerebellar areas correlated with higher symptom severity scores"
Engels et al. (???),GE Signa HDxT 3T 202 volumes TR = 2.15 s,"1. Segmentation of 264 brain regions from the Power atlas (Power et al., ???) 2. Sliding-window analysis, window length = 28 TRs (60.2 s), steps = 5 TRs (10.75 s) 3. Standard deviation of TVC across windows",24 Parkinson's disease patients 7 females (29.2%) mean age = 63.42 years SD = 7.93 years 27 healthy controls 11 females (40.1%) mean age = 59.37 years SD = 8.54 years,"- Compared with patients without cognitive impairment, Parkinson's disease patients with mild cognitive impairment showed higher TVC between the DMN and the rest of the brain - In patients, no correlation was found between TVC abnormalities and motor severity"
