Region,Peak MNI coordinates,Beta direction
Post vs. Pre,Post vs. Pre,Post vs. Pre
Left inferior parietal lobule∗∗,"−42, −58, 54",–
Follow-up vs. Pre,Follow-up vs. Pre,Follow-up vs. Pre
,,
Follow-up vs. Post,Follow-up vs. Post,Follow-up vs. Post
,,
Prediction of TFI,Prediction of TFI,Prediction of TFI
L. precuneus∗∗,"−4, −78, 47",+
L. inferior frontal gyrus – pars triangularis∗∗,"−48, 40, 12",+
L. inferior frontal gyrus – pars triangularis∗∗,"−48, 36, 20",+
L. inferior frontal gyrus – pars triangularis*,"−32, 36, 12",+
Undefined*,"−26, −48, 14",−
Undefined *,"−18, −42, 16",−
L. middle frontal gyrus*,"−50, 22, 36",+
L. precentral gyrus*,"−50, 10, 42",+
L. precentral gyrus*,"−44, 12, 34",+
L. middle frontal gyrus*,"−38, 20, 54",+
L. middle frontal gyrus*,"−36, 30, 48",+
Undefined*,"6, 0, 14",–
Undefined*,"0, 6, 4",–
L. superior parietal lobule*,"−32, −64, 46",+
