Seed,Region,MNI Coordinate
DMN,Medial prefrontal cortex,"8, 59, 19"
,Posterior cingulate cortex,"−2, −50, 25"
DAN_1,Left posterior intraparietal sulcus,"−23, −70, 46"
,Right posterior intraparietal sulcus,"26, −62, 53"
DAN_2,Left frontal eye field,"−25, −11, 54"
,Right frontal eye field,"27, −11, 54"
AMGY,Left amygdala,Harvard-Oxford atlas parcellation
,Right amygdala,Harvard-Oxford atlas parcellation
L_FPN,Left prefrontal cortex,"−43, 33, 28"
R_FPN,Right prefrontal cortex,"41, 38, 30"
L_CON,Left anterior insula,"−44, 13, 1"
R_CON,Right anterior insula,"47, 14, 0"
