Region,Peak MNI Coordinates,Beta direction
Left FPN,,
Post vs. Pre,Post vs. Pre,Post vs. Pre
,,
Follow-up vs. Pre,Follow-up vs. Pre,Follow-up vs. Pre
,,
Follow-up vs. Post,Follow-up vs. Post,Follow-up vs. Post
,,
Prediction of TFI,Prediction of TFI,Prediction of TFI
L. calcarine sulcus∗∗,"0, −84, 0",−
Undefined∗∗,"−14, −86, 2",+
R. lobule IX of cerebellar hemisphere∗∗,"12, −50, −46",+
L. insula∗∗,"−29, 19, −17",+
R. hippocampus∗∗,"29, −35, 0",+
R. lobule VIII of cerebellar hemisphere*,"18, −64, −38",+
L. medial frontal gyrus*,"−6, 62, 4",+
R. anterior cingulate gyrus*,"8, 46, 8",+
L. anterior cingulate gyrus*,"−8, 36, 2",+
R. anterior cingulate gyrus*,"2, 37, −1",+
L. medial frontal gyrus*,"−8, 48, 6",+
Right FPN,,
Post vs. Pre,Post vs. Pre,Post vs. Pre
L. caudate nucleus*,"−10, 12, −4",–
Follow-up vs. Pre,Follow-up vs. Pre,Follow-up vs. Pre
,,
Follow-up vs. Post,Follow-up vs. Post,Follow-up vs. Post
,,
Prediction of TFI,Prediction of TFI,Prediction of TFI
Undefined∗∗,"0, −2, −10",+
Undefined∗∗,"15, −25, −37",-
R. middle temporal gyrus∗∗,"56, −6, −18",+
R. middle temporal gyrus∗∗,"52, −18, −12",+
R. insula∗∗,"33, 16, −12",+
R. inferior frontal gyrus – pars orbitalis∗∗,"34, 22, −22",+
Undefined*,"26, −16, −6",+
R. lobule IX of cerebellar hemisphere*,"10, −52, −40",+
L. lobule IX of cerebellar hemisphere*,"−6, −52, −40",+
R. calcarine sulcus*,"28, −64, 12",–
R. calcarine sulcus*,"14, −80, 8",+
L. calcarine sulcus*,"−8, −96, 0",+
L. calcarine sulcus*,"−2, −88, 0",+
R. superior temporal pole*,"46, 18, −22",+
R. medial frontal gyrus*,"6, 56, 8",+
R. anterior cingulate gyrus*,"6, 42, 4",+
