DMNa,DMNa,DMNv,DMNv,DMNp,DMNp
#ROI,Name of Region,#ROI,Name of Region,#ROI,Name of Region
1.0,Insula Left,5,Cingulum Post Left,13.0,Parietal Superior Left
2.0,Insula Right,6,Cingulum Post Right,14.0,Parietal Superior Right
3.0,Cingulum Ant Left,7,Hippocampus Left,15.0,Parietal Inferior Left
4.0,Cingulum Ant Left,8,Hippocampus Right,16.0,Parietal Inferior Right
23.0,Lob Temp Med Left,9,Circ ParaHippo Left,21.0,Temporal Med Left
24.0,Lob Temp Med R.,10,Circ ParaHipp Right,22.0,Temporal Med Right
,,11,Gyrus Fusiform Left,,
,,12,Gyrus Fusiform Right,,
,,17,Angular Gyrus Left,,
,,18,Angular Gyrus Right,,
,,19,Precuneus Left,,
,,20,Precuneus Right,,
