Unnamed: 0,Real ± SD,Sham ± SD,Unnamed: 3,df,F,p-value
Debilitating headache frequency,Debilitating headache frequency,Debilitating headache frequency,Debilitating headache frequency,Debilitating headache frequency,Debilitating headache frequency,Debilitating headache frequency
Baseline,2.44 ± 1.56,3.95 ± 1.83,Overall Treatment versus Visit,"2,48",3.18,0.050
1-Week Post-TX,1.52 ± 1.45,3.92 ± 1.80,Baseline versus 1-Week Post-TX,"1,24",7.11,0.014
4-Week Post-TX,1.38 ± 1.37,4.01 ± 1.92,Baseline versus 4-Week Post-TX,"1,24",3.99,0.057
Daily headache intensity,Daily headache intensity,Daily headache intensity,Daily headache intensity,Daily headache intensity,Daily headache intensity,Daily headache intensity
Baseline,4.9 ± 1.7,4.9 ± 1.4,Overall Treatment versus Visit,"2,48",9.24,< 0.001
1-Week Post-TX,3.5 ± 2.0,4.8 ± 1.4,Baseline versus 1-Week Post-TX,"1,24",17.29,< 0.001
4-Week Post-TX,3.6 ± 2.0,4.8 ± 1.6,Baseline versus 4-Week Post-TX,"1,24",9.91,0.004
Prevalence of persistent headaches,Prevalence of persistent headaches,Prevalence of persistent headaches,Prevalence of persistent headaches,Prevalence of persistent headaches,Prevalence of persistent headaches,Prevalence of persistent headaches
Baseline,1.00 ± 0.00,1.00 ± 0.00,Overall Treatment versus Visit,"2,48",3.50,0.038
1-Week Post-TX,0.50 ± 0.52,0.92 ± 0.29,Baseline versus 1-Week Post-TX,"1,24",6.10,0.021
4-Week Post-TX,0.43 ± 0.51,0.75 ± 0.45,Baseline versus 4-Week Post-TX,"1,24",2.82,0.106
