Unnamed: 0,Real (N = 14),Sham (N = 12),Real vs ShamP-value
Gender,Gender,Gender,Gender
Males,12,8,–
Females,2,4,–
Cause of TBI,,,
Blast,5,5,–
Non-blast,7,5,–
Both,2,2,–
Duration in months of MTBI-HA ± SD,95 ± 83,105 ± 61,–
Number of subjects using medications,Number of subjects using medications,Number of subjects using medications,Number of subjects using medications
Triptans,5,7,–
TCA,8,6,–
NSAID,3,5,–
Gabapentanoid,4,1,–
Acetaminophen,1,1,–
SSRI,0,2,–
AED,0,3,–
Opioid,0,1,–
Average age ± SD,33.0 ± 8,35.6 ± 8,–
Average RMT ± SD,55.5 ± 13.7,52.6 ± 8.7,–
