ROIs,Brain regions,MNI coordinates,MNI coordinates,MNI coordinates,Number of voxels,T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
ROIs identified from TD controls,ROIs identified from TD controls,,,,,
Right supramarginal gyrus,Left middle cingulate gyrus,−9,−21,48,93.0,4.00???
Left angular gyrus,Right superior frontal gyrus,18,51,39,123.0,−5.05???
,Right superior occipital gyrus,27,−72,18,184.0,5.04???
Left superior temporal gyrus,Right cerebellar crus II,42,−78,−42,168.0,−4.20???
Left cerebellar crus I,Right superior frontal gyrus,27,48,42,92.0,−4.58???
,Left middle frontal gyrus,−27,42,33,110.0,−3.95???
,Left cerebellar crus II,−39,−66,−48,198.0,−4.92???
,Right cerebellar crus II,51,−63,−45,288.0,−4.96???
,Right cerebellar lobule IX,12,−48,−48,120.0,−3.79???
Right cerebellar crus I,Left superior occipital gyrus,−12,−84,18,175.0,4.65???
,Right cerebellar crus II,42,−81,−42,160.0,−4.08???
Left cerebellar lobule VIII,Left superior parietal gyrus,−21,−57,45,159.0,4.62???
,Left superior occipital gyrus,−21,69,30,141.0,4.47???
,Right superior occipital gyrus,27,−69,33,209.0,4.97???
,Right cerebellar crus II,42,−78,−42,137.0,−3.70???
ROIs identified from individuals with ASD,ROIs identified from individuals with ASD,,,,,
Left precuneus,Right superior parietal gyrus,18,−63,48,143.0,4.36???
,Right cerebellar crus II,6,−84,−39,92.0,−3.67???
Left Heschl's gyrus,Left superior parietal gyrus,−24,−39,48,101.0,3.96???
,Right cerebellar crus II,21,−81,−57,105.0,−3.75???
Cerebellar vermis VI,Right superior frontal gyrus,24,57,15,187.0,−5.20???
,Left middle frontal gyrus,−27,45,36,138.0,−3.94???
,Left middle occipital gyrus,−24,−84,24,102.0,4.49???
,Left cerebellar crus I,−45,−57,−39,277.0,−4.93???
,Right cerebellar crus II,42,−81,−42,241.0,−4.42???
