Unnamed: 0,Unnamed: 1,MoCA,MMSE,ESS,FEV1,FVC,FEV1/FVC,PaO2,PaCO2,SaO2,pH,CRP
Fractional windows in State I,r,–0.072,0.039,0.106,–0.455,–0.256,–0.368,–0.233,0.383,–0.386,−0.507???,0.545???
,p,0.769,0.875,0.667,0.050,0.290,0.121,0.337,0.105,0.103,0.027,0.016
Fractional windows in State II,r,0.316,0.156,–0.029,0.725???,0.260,0.559???,0.291,−0.609???,0.440,0.496???,–0.104
,p,0.187,0.523,0.907,0.000,0.283,0.013,0.227,0.006,0.059,0.031,0.673
Fractional windows in State III,r,0.170,0.016,0.034,0.672???,0.057,0.491???,0.030,–0.368,0.309,0.445,–0.064
,p,0.487,0.948,0.889,0.002,0.815,0.033,0.904,0.121,0.198,0.056,0.795
Fractional windows in State IV,r,–0.091,–0.189,–0.242,0.135,0.216,0.264,0.027,–0.214,0.132,0.399,–0.392
,p,0.710,0.438,0.319,0.582,0.375,0.274,0.913,0.379,0.589,0.091,0.097
Mean dwell time in State I,r,0.087,0.168,0.239,−0.558???,–0.302,−0.556???,–0.323,0.405,–0.447,−0.514???,0.491???
,p,0.723,0.492,0.325,0.013,0.209,0.013,0.177,0.086,0.055,0.024,0.033
Mean dwell time in State II,r,0.331,0.166,–0.036,0.705???,0.258,0.545???,0.279,−0.637???,0.415,0.491???,–0.051
,p,0.167,0.497,0.885,0.001,0.287,0.016,0.247,0.003,0.077,0.033,0.836
Mean dwell time in State III,r,0.226,0.028,0.092,0.638???,0.026,0.466???,–0.011,–0.413,0.283,0.488???,–0.043
,p,0.353,0.910,0.707,0.003,0.917,0.044,0.966,0.079,0.240,0.034,0.863
Mean dwell time in State IV,r,–0.076,–0.151,–0.274,0.137,0.243,0.255,0.047,–0.212,0.154,0.409,–0.360
,p,0.757,0.536,0.257,0.577,0.316,0.291,0.849,0.383,0.529,0.082,0.130
Number of transitions,r,0.041,–0.114,–0.116,0.672???,0.267,0.729???,0.191,−0.600???,0.390,0.599???,–0.230
,p,0.868,0.641,0.636,0.002,0.269,0.000,0.434,0.007,0.098,0.007,0.344
