Unnamed: 0,Unnamed: 1,Typically developing (n = 57),ADHD (n = 62),Unnamed: 4
Sex (M/F),Sex (M/F),36/21,45/17,p = 0.27
Age (Years),Behavioral age,10.6 ± 1.2,10.4 ± 1.4,p = 0.39
Age (Years),Scan age,10.7 ± 1.2,10.5 ± 1.4,p = 0.44
Handedness,Right/Mixed,54/2,59/1,p = 0.71
Handedness,Edinburgh,0.82 ± 0.17,0.88 ± 0.15,p = 0.07
FSIQ,FSIQ,114.8 ± 11.4,106.3 ± 13.5,p < 0.001
SES,SES,55.4 ± 10.2,51.8 ± 11.2,p = 0.08
Mean FD (mm),Mean FD (mm),0.20 ± 0.12,0.28 ± 0.16,p = 0.002
Conners (CBRS),Inattentive,45.0 ± 5.5,73.4 ± 10.8,p < 0.0001
Conners (CBRS),Hyperactive,46.7 ± 5.1,72.5 ± 12.3,p < 0.0001
Total mirror overflow,Total mirror overflow,382.0 ± 303.1,690.3 ± 574.4,p < 0.001
(min - max),(min - max),(41.5–1441.7),(69.9–2807.0),
