MNI coordinates of maximum voxel,MNI coordinates of maximum voxel,MNI coordinates of maximum voxel,Cluster size (voxels),BA,Peak voxel t-value,Anatomical region
x,y,z,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
IBS-D > HC,IBS-D > HC,IBS-D > HC,IBS-D > HC,IBS-D > HC,IBS-D > HC,IBS-D > HC
12,–72,–15,17,,4.325,Right cerebellum posterior lobe
21,–63,0,18,30,4.725,Right lingual gyrus
3,–75,6,22,18/30,4.384,Right calcarine
51,–15,54,16,3,4.673,Right postcentral gyrus
9,33,63,304,6/8,4.974,Right superior and middle frontal gyrus (peak region: right medial superior frontal gyrus)
IBS-D < HC,IBS-D < HC,IBS-D < HC,IBS-D < HC,IBS-D < HC,IBS-D < HC,IBS-D < HC
42,–39,36,730,13/24/40,–4.939,"Right putamen, right supramarginal gyrus, right caudate, right anterior cingulated gyrus, right insula, right hippocampus, right thalamus, right pallidum, left caudate (peak region: right supramarginal gyrus)"
6,–21,–12,22,,–3.400,Right midbrain
–3,–54,18,40,23/31,–4.026,Left precuneus
42,–42,48,23,40,–3.899,Right inferior parietal lobule
