TermsSubjects,Age(Mean ± SD),Gendermale (%),Right-handedN (%),aGCS(Mean ± SD),GOS-E(Mean ± SD)
All,,,,,
Healthy controls,55.21 ± 18.09,18 (64.3),28 (100.0),–,–
Coma patients,58.00 ± 15.39,19 (67.9),28 (100.0),5.00 ± 2.45,3.00 ± 1.93
Outcome I,,,,,
Good outcome group,64.38 ± 14.91,5 (62.5),8 (100.0),6.13 ± 2.23,5.50 ± 1.20
Poor outcome group,54.95 ± 15.09,14 (70.0),20 (100.0),4.55 ± 2.43,2.00 ± 1.03
Outcome II,,,,,
Wake group,52.23 ± 17.22,7 (87.5),13 (100.0),5.85 ± 2.38,4.69 ± 1.49
Coma group,59.38 ± 15.98,8 (61.5),8 (100.0),2.88 ± 1.36,2.00 ± 0.00
Statistical results,,,,,
P value,.54a;.15b;.36c,.78a;.70b;.20c,–,.13b;.002c,"<.001b, c"
