Variable,Preop,Postop,p
JOA scores,JOA scores,JOA scores,JOA scores
Upper-extremity motor score,2.2 ± 1.0 (−0.5–4),3.4 ± 0.6 (2.5–4),<0.001
Lower-extremity motor score,2.3 ± 0.9 (0.5–4),2.9 ± 1.0 (1–4),0.004
Upper-extremity sensory score,1.0 ± 0.3 (0.5–1.5),1.3 ± 0.4 (1–2),0.001
Trunk sensory score,1.7 ± 0.5 (1–2),2.0 ± 0.1 (1.5–2),0.004
Lower-extremity motor score,1.2 ± 0.5 (0.5–2),1.7 ± 0.4 (1–2),<0.001
Sphincter score,2.4 ± 0.7 (1–3),2.8 ± 0.5 (1–3),0.009
Total,10.8 ± 2.6 (4–15),14.0 ± 2.0 (9–17),<0.001
JOACMEQ scores,JOACMEQ scores,JOACMEQ scores,JOACMEQ scores
Neck function,62.0 ± 27.4 (0–100),77.9 ± 27.6 (10–100),0.001
Upper extremity function,71.1 ± 25.7 (5–100),87.6 ± 15.7 (42–100),0.028
Lower extremity function,55.3 ± 29.8 (0–100),73.5 ± 23.1 (36–100),0.008
Bladder function,70.4 ± 19.0 (38–100),79.7 ± 17.9 (38–100),<0.001
QOL,41.9 ± 24.0 (2–94),53.4 ± 21.5 (16–97),0.023
10-second test (lower side)*,15.6 ± 3.5 (11–21),27.4 ± 7.8 (12–41),0.004
Operative gain in 10-second test,,11.8 ± 6.6 (0–21),
VAS,VAS,VAS,VAS
Pain or numbness in upper extremity (mm),55.5 ± 28.0 (8–100),45.9 ± 31.3 (0–100),0.246
