SVC classification,SVC classification,PSQI prediction,PSQI prediction,SAS prediction,SAS prediction,SDS prediction,SDS prediction
FC,Weight,FC,Weight,FC,Weight,FC,Weight
DMN.MPFC‐VN.Medial,1.74,AAN.DR‐AAN.PPN,2.52,FPN.PPC(R)‐SN.SMG(L),−4.20,FPN.PPC(R)‐AAN.PAG,3.97
SN.AInsula(R)‐VN.Medial,−1.27,FPN.LPFC(R)‐VN.Lateral(R),1.78,VN.Lateral(L)‐VN.Occipital,−3.12,FPN.PPC(R)‐AAN.DR,3.75
LN.pSTG(L)‐LN.IFG(L),1.13,DMN.LP(L)‐DMN.MPFC,−1.52,DAN.IPS(L)‐VN.Lateral(L),2.68,DAN.IPS(L)‐VN.Lateral(L),3.73
AAN.MRF‐AAN.PAG,1.07,LN.IFG(L)‐DMN.PCC,−1.41,CBN.Posterior‐DMN.LP(R),−2.60,FPN.LPFC(L)‐AAN.DR,2.59
DAN.IPS(R)‐AAN.LC,−0.81,SN.RPFC(R)‐VN.Occipital,−1.34,CBN.Posterior‐CBN.Anterior,2.47,SN.SMG(L)‐VN.Lateral(L),2.54
DAN.IPS(R)‐AAN.PO,−0.75,LN.IFG(L)‐DAN.IPS(L),1.30,LN.IFG(R)‐FPN.LPFC(R),2.41,FPN.PPC(R)‐AAN.PBC,2.48
DMN.MPFC‐AAN.PBC,0.72,CBN.Anterior‐DAN.IPS(L),−1.25,FPN.PPC(R)‐AAN.VTA,2.11,DAN.IPS(R)‐VN.Lateral(L),2.44
SMN.Lateral(L)‐AAN.PPN,−0.71,SN.AInsula(R)‐VN.Medial,1.15,FPN.PPC(R)‐AAN.MR,2.05,SN.RPFC(L)‐AAN.PAG,2.34
SMN.Lateral(L)‐AAN.PO,−0.64,LN.IFG(L)‐DAN.IPS(R),1.06,FPN.LPFC(L)‐DMN.PCC,−1.95,SN.RPFC(L)‐AAN.DR,2.32
SMN.Lateral(L)‐AAN.MR,−0.60,DAN.IPS(L)‐VN.Occipital,−0.93,SN.SMG(L)‐VN.Lateral(L),1.61,SN.RPFC(L)‐AAN.MRF,2.23
