Unnamed: 0_level_0,Discovery,Discovery,Discovery,Discovery,Discovery,Replication,Replication,Replication,Replication,Replication
Unnamed: 0_level_1,SC > RRB,SC = RRB,RRB > SC,TD,F (p value),SC > RRB,SC = RRB,RRB > SC,TD,F (p value)
N (male),50 (36),77 (59),6 (3),121 (80),—,49 (36),83 (60),1 (1),122 (75),—
Age in years,16.26 (5.03),16.29 (5.72),18.08 (7.13),16.83 (5.23),0.34 (0.79),16.30 (5.21),16.51 (5.67),11.45 (N/A),16.86 (6.07),0.63 (0.59)
FIQ,98.27 (18.28),98.94 (18.89),102.67 (14.63),105.72 (18.33),2.34 (0.07),95.43 (20.11),103.28 (16.55),148.00 (N/A),104.94 (17.14),5.10 (0.001)
Mean FD,0.23 (0.24),0.28 (0.45),0.29 (0.42),0.18 (0.15),2.17 (0.09),0.23 (0.21),0.25 (0.27),0.38 (N/A),0.23 (0.46),0.10 (0.95)
ADI-R SCa,0.46 (0.13),0.31 (0.14),0.18 (0.12),—,29.19 (3.70e-11),0.51 (0.13),0.28 (0.13),0.15 (N/A),—,54.60 (<0.001)
ADI-R RRBa,0.16 (0.09),0.29 (0.16),0.47 (0.09),—,24.87 (7.63e-10),0.20 (0.13),0.23 (0.13),0.40 (N/A),—,1.98 (0.14)
ADI-R Soc,18.52 (6.44),16.83 (6.81),15.83 (8.33),—,2.70 (0.10),19.39 (5.87),14.96 (5.92),16.00 (N/A),—,19.47 (2.15e-5)
ADI-R Comm,14.54 (5.03),14.00 (5.87),14.67 (6.31),—,0.94 (0.33),15.61 (4.64),11.84 (5.36),7.00 (N/A),—,19.29 (2.34e-5)
ADI-R RRB,2.96 (2.02),5.08 (2.54),9.00 (1.26),,26.72 (9.29e-7),3.88 (2.54),3.94 (2.29),6.00 (N/A),,0.001 (0.97)
ADOS SA CSSb,6.31 (2.54),6.22 (2.60),3.83 (3.37),—,0.06 (0.80),6.20 (2.98),5.68 (2.51),5.00 (N/A),—,1.48 (0.22)
ADOS RRB CSSb,4.71 (2.79),4.86 (2.83),4.83 (4.22),—,0.20 (0.65),4.50 (2.83),4.91 (2.52),1.00 (N/A),—,1.61 (0.20)
SRSb,73.23 (10.97),72.04 (12.35),71.33 (16.65),47.84 (9.40),0.01 (0.90),76.61 (10.61),67.13 (11.61),60.00 (N/A),47.23 (9.34),0.10 (0.75)
RBSb,14.72 (13.27),18.83 (16.40),17.33 (10.69),2.15 (4.74),1.93 (0.16),21.59 (15.81),13.37 (11.30),13.00 (N/A),3.08 (11.54),12.37 (6.35e-4)
SSPb,138.64 (28.33),135.86 (31.26),143.00 (33.94),177.86 (12.71),0.67 (0.41),134.62 (24.70),142.44 (26.14),153.00 (N/A),174.93 (19.38),2.33 (0.13)
VABS Commb,69.29 (16.26),73.65 (17.51),86.50 (20.68),91.97 (25.44),1.83 (0.17),69.50 (14.57),82.01 (13.81),99.00 (N/A),92.74 (25.45),21.97 (7.66e-6)
VABS DLSb,68.31 (16.18),73.70 (16.61),71.00 (9.63),90.74 (20.28),3.31 (0.07),68.27 (15.83),78.24 (15.27),74.00 (N/A),91.10 (22.65),12.26 (6.60e-4)
VABS Socb,66.24 (15.96),70.78 (15.69),70.75 (10.34),96.21 (23.67),2.82 (0.09),63.43 (15.88),75.91 (15.22),76.00 (N/A),98.90 (27.04),18.79 (3.13e-5)
VABS ABCb,65.71 (15.45),71.27 (13.20),74.00 (12.03),92.06 (23.04),4.44 (0.03),65.25 (13.82),77.09 (12.83),81.00 (N/A),93.00 (25.39),24.02 (3.16e-6)
