Unnamed: 0,MBSR,CTRL,Statistical analysis
Sample size,18,14,
Sex (F/M),17/1,11/3,"p = 0.465 (χ12 = 0.533, n.s.)"
Age (years),47.50 (9.6),45.87 (8.1),"p = 0.604 (t31 = 0.524, n.s.)"
Education (years),16.89 (2.0),17.60 (2.5),"p = 0.377 (t31 = 0.897, n.s.)"
