ID,HOA number,Brain region A,Network,HOA number.1,Brain region B,Network.1
1,1,Frontal Pole.L,Other region,86,Parietal Operculum Cortex.R,Other region
2,2,Frontal Pole.R,Other region,5,Superior Frontal Gyrus.L,Other region
3,2,Frontal Pole.R,Other region,15,Temporal Pole.L,AN
4,4,Insular Cortex.R,AN,88,Planum Polare.R,Other region
5,6,Superior Frontal Gyrus.R,Other region,30,"Inferior Temporal Gyrus, posterior.R",DMN
6,6,Superior Frontal Gyrus.R,Other region,78,Temporal Occipital Fusiform Cortex.R,VIN
7,7,Middle Frontal Gyrus.L,DMN,56,Paracingulate Gyrus.R,ECN
8,11,"Inferior Frontal Gyrus, pars opercularis.L",Other region,76,"Temporal Fusiform Cortex, posterior.R",VIN
9,12,"Inferior Frontal Gyrus, pars opercularis.R",Other region,72,Lingual Gyrus.R,Other region
10,12,"Inferior Frontal Gyrus, pars opercularis.R",Other region,87,Planum Polare.L,Other region
11,14,Precentral Gyrus.R,SMN,70,"Parahippocampal Gyrus, posterior.R",DMN
12,15,Temporal Pole.Sup.L,AN,19,"Superior Temporal Gyrus, posterior.L",AUN
13,15,Temporal Pole.L,AN,52,Juxtapositional Lobule Cortex.R,Other region
14,16,Temporal Pole.R,AN,36,Superior Parietal Lobule.R,VIN
15,16,Temporal Pole.R,AN,51,Juxtapositional Lobule Cortex.L,Other region
16,16,Temporal Pole.Mid.R.,AN,79,Occipital Fusiform Gyrus.L,VIN
17,17,"Superior Temporal Gyrus, anterior.L",DMN,42,Angular Gyrus.R,DMN
18,18,"Superior Temporal Gyrus, anterior.R",DMN,104,Right Putamen,BGN
19,19,"Superior Temporal Gyrus, posterior.L",DMN,21,"Middle Temporal Gyrus, anterior.L",DMN
20,19,"Superior Temporal Gyrus, posterior.L",DMN,53,Subcallosal Cortex.L,Other region
21,21,"Middle Temporal Gyrus, anterior.L",DMN,33,Postcentral Gyrus.L,SEN
22,22,"Middle Temporal Gyrus, anterior.R",DMN,65,Frontal Orbital Cortex.L,Other region
23,23,"Middle Temporal Gyrus, posterior.L",DMN,62,Precuneus Cortex.R,DMN
24,24,"Middle Temporal Gyrus, posterior.R",DMN,30,"Inferior Temporal Gyrus, posterior.R",Other region
25,27,"Inferior Temporal Gyrus, anterior.L",DMN,89,Heschl’s Gyrus.L,AUN
26,28,"Inferior Temporal Gyrus, anterior.R",DMN,60,"Cingulate Gyrus, posterior.R",DMN
27,29,"Inferior Temporal Gyrus, posterior.L",DMN,87,Planum Polare.L,Other region
28,32,"Inferior Temporal Gyrus, temporooccipital.R",Other region,72,Lingual Gyrus.R,Other region
29,34,Postcentral Gyrus.R,SMN,96,Occipital Pole.R,VIN
30,44,"Lateral Occipital Cortex, superior.R",VIN,111,Left Accumbens,Other region
31,45,"Lateral Occipital Cortex, inferior.L",VIN,111,Left Accumbens,Other region
32,54,Subcallosal Cortex.R,Other region,110,Right Amygdala,DMN
33,55,Paracingulate Gyrus.L,ECN,57,"Cingulate Gyrus, anterior.L",DMN
34,55,Paracingulate Gyrus.L,ECN,100,Right Thalamus,DMN
35,56,Paracingulate Gyrus.R,ECN,85,Parietal Operculum Cortex.L,Other region
36,58,"Cingulate Gyrus, anterior.R",ECN,85,Parietal Operculum Cortex.L,Other region
37,58,"Cingulate Gyrus, anterior.R",ECN,90,Heschl’s Gyrus.R,AUN
38,60,"Cingulate Gyrus, posterior.R",DMN,74,"Temporal Fusiform Cortex, anterior.R",VIN
39,70,"Parahippocampal Gyrus, posterior.R",Other region,99,Left Thalamus,DMN
40,75,"Temporal Fusiform Cortex, posterior.L",VIN,111,Left Accumbens,Other region
41,77,Temporal Occipital Fusiform Cortex.L,VIN,86,Parietal Operculum Cortex.R,Other region
42,77,Temporal Occipital Fusiform Cortex.L,VIN,110,Right Amygdala,DMN
43,78,Temporal Occipital Fusiform Cortex.R,VIN,80,Occipital Fusiform Gyrus.R,VIN
44,88,Planum Polare.R,Other region,99,Left Thalamus,DMN
45,92,Planum Temporale.R,Other region,107,Left Hippocampus,DMN
46,96,Occipital Pole.R,VIN,98,Brainstem.R,Other region
