ID,Feature,PD (mean ± SD),HC (mean ± SD),P-value
1,Frontal Pole.L-Parietal Operculum Cortex.R,−0.1129 ± 0.2642,−0.2487 ± 0.265,0.3488
2,Frontal Pole.R-Superior Frontal Gyrus.L,0.0478 ± 0.2354,0.0408 ± 0.2536,0.0815
3,Frontal Pole.R-Temporal Pole.L,0.2116 ± 0.2723,0.3172 ± 0.2829,0.2758
4,Insular Cortex.R-Planum Polare.R,0.2713 ± 0.2794,0.1674 ± 0.2358,0.0104
5,"Superior Frontal Gyrus.R-Inferior Temporal Gyrus, posterior.R",−0.0828 ± 0.3272,0.0568 ± 0.3013,0.0341
6,Superior Frontal Gyrus.R-Temporal Occipital Fusiform Cortex.R,−0.2821 ± 0.2749,0.4011 ± 0.2316,0.1139
7,Middle Frontal Gyrus.L-Paracingulate Gyrus.R,0.5995 ± 0.2634,0.4751 ± 0.2763,0.0082
8,"Inferior Frontal Gyrus, pars opercularis.L-Temporal Fusiform Cortex, posterior.R",0.0897 ± 0.2763,0.2384 ± 0.2609,0.2141
9,"Inferior Frontal Gyrus, pars opercularis.R-Lingual Gyrus.R",−0.1656 ± 0.2669,0.2521 ± 0.2320,0.1853
10,"Inferior Frontal Gyrus, pars opercularis.R-Planum Polare.L",0.0418 ± 0.2501,0.0845 ± 0.2656,0.0344
11,"Precentral Gyrus.R-Parahippocampal Gyrus, posterior.R",0.1467 ± 0.2138,0.0216 ± 0.2398,0.0032
12,"Temporal Pole.L-Superior Temporal Gyrus, posterior.L",−0.3148 ± 0.2612,0.4955 ± 0.3027,0.2183
13,Temporal Pole.L-Juxtapositional Lobule Cortex.R,−0.0739 ± 0.2415,0.0455 ± 0.2886,0.0269
14,Temporal Pole.R-Superior Parietal Lobule.R,0.1059 ± 0.2912,0.0107 ± 0.2773,0.0292
15,Temporal Pole.R-Juxtapositional Lobule Cortex.L,0.6623 ± 0.2743,0.7524 ± 0.2624,0.2021
16,Temporal Pole.R-Occipital Fusiform Gyrus.L,−0.1192 ± 0.2378,0.0146 ± 0.2261,0.0045
17,"Superior Temporal Gyrus, anterior.L-Angular Gyrus.R",−0.0500 ± 0.2470,0.0688 ± 0.2392,0.0285
18,"Superior Temporal Gyrus, anterior.R-Right Putamen",−0.1993 ± 0.2559,0.1071 ± 0.2856,0.0207
19,"Superior Temporal Gyrus, posterior.L-Middle Temporal Gyrus, anterior.L",−0.0174 ± 0.2309,0.1275 ± 0.2442,0.1225
20,"Superior Temporal Gyrus, posterior.L-Subcallosal Cortex.L",0.0451 ± 0.2116,0.1618 ± 0.2278,0.1429
21,"Middle Temporal Gyrus, anterior.L-Postcentral Gyrus.L",−0.0628 ± 0.2827,0.0856 ± 0.2278,0.013
22,"Middle Temporal Gyrus, anterior.R-Frontal Orbital Cortex.L",−0.0029 ± 0.2553,0.1269 ± 0.2147,0.0659
23,"Middle Temporal Gyrus, posterior.L-Precuneus Cortex.R",−0.0032 ± 0.1956,0.1271 ± 0.1759,0.0238
24,"Middle Temporal Gyrus, posterior.R-Inferior Temporal Gyrus, posterior.R",0.0455 ± 0.2457,0.0399 ± 0.2304,0.0888
25,"Inferior Temporal Gyrus, anterior.L-Heschl’s Gyrus.L",0.4837 ± 0.3685,0.3644 ± 0.3915,0.018
26,"Inferior Temporal Gyrus, anterior.R-Cingulate Gyrus, posterior.R",0.1240 ± 0.2235,0.0302 ± 0.3139,0.0049
27,"Inferior Temporal Gyrus, posterior.L-Planum Polare.L",−0.0922 ± 0.2427,0.0667 ± 0.2399,0.0035
28,"Inferior Temporal Gyrus, temporooccipital.R-Lingual Gyrus.R",−0.0489 ± 0.2319,0.0818 ± 0.1936,0.0103
29,Postcentral Gyrus.R-Occipital Pole.R,0.2362 ± 0.2612,0.1036 ± 0.3113,0.006
30,"Lateral Occipital Cortex, superior.R-Left Accumbens",−0.1134 ± 0.2020,0.0016 ± 0.2128,0.0043
31,"Lateral Occipital Cortex, inferior.L-Left Accumbens",0.7454 ± 0.2993,0.6130 ± 0.2801,0.01
32,Subcallosal Cortex.R-Right Amygdala,−0.1688 ± 0.2078,0.0146 ± 0.2352,0.0006
33,"Paracingulate Gyrus.L-Cingulate Gyrus, anterior.L",−0.1056 ± 0.2160,0.0254 ± 0.2486,0.0047
34,Paracingulate Gyrus.L-Right Thalamus,−0.0849 ± 0.2356,0.1805 ± 0.2874,0.2865
35,Paracingulate Gyrus.R-Parietal Operculum Cortex.L,0.0737 ± 0.2734,0.0281 ± 0.2416,0.0475
36,"Cingulate Gyrus, anterior.R-Parietal Operculum Cortex.L",0.1262 ± 0.2546,0.2581 ± 0.2542,0.3158
37,"Cingulate Gyrus, anterior.R-Heschl’s Gyrus.R",0.0159 ± 0.2817,0.0983 ± 0.1895,0.0704
38,"Cingulate Gyrus, posterior.R-Temporal Fusiform Cortex, anterior.R",−0.1340 ± 0.2362,0.0164 ± 0.2544,0.0084
39,"Parahippocampal Gyrus, posterior.R-Left Thalamus",0.2082 ± 0.2267,0.3380 ± 0.1966,0.1968
40,"Temporal Fusiform Cortex, posterior.L-Left Accumbens",0.1025 ± 0.2688,0.2534 ± 0.2388,0.2285
41,Temporal Occipital Fusiform Cortex.L-Parietal Operculum Cortex.R,0.0059 ± 0.2695,0.0970 ± 0.2492,0.208
42,Temporal Occipital Fusiform Cortex.L-Right Amygdala,0.1999 ± 0.2317,0.0755 ± 0.2679,0.0043
43,Temporal Occipital Fusiform Cortex.R-Occipital Fusiform Gyrus.R,0.0310 ± 0.2339,0.1158 ± 0.2416,0.2874
44,Planum Polare.R-Left Thalamus,−0.0057 ± 0.2023,0.1249 ± 0.2388,0.055
45,Planum Temporale.R-Left Hippocampus,−0.1296 ± 0.2257,0.0337 ± 0.2826,0.0017
46,Occipital Pole.R-Brainstem.R,0.0972 ± 0.2042,0.0076 ± 0.2136,0.0096
47,HAMD Score,10.1429 ± 6.3545,1.9730 ± 2.1793,0.0
48,"mALFF of Superior Temporal Gyrus, posterior.R",1.1140 ± 0.1317,1.0478 ± 0.1379,0.027
49,"mReHo of Parahippocampal Gyrus, posterior.L",0.8302 ± 0.0956,0.7870 ± 0.0859,0.0292
50,mReHo of Right Thalamus,0.8533 ± 0.0924,0.9144 ± 0.1154,0.1034
51,mReHo of Left Pallidum,0.7300 ± 0.0772,0.7718 ± 0.1010,0.091
52,"VMHC of Temporal Fusiform Cortex, anterior.R",0.2277 ± 0.1448,0.1818 ± 0.1395,0.0159
53,"Gray Matter Volume of Inferior Temporal Gyrus, anterior.R",0.0025 ± 0.0008,0.0021 ± 0.0008,0.0103
54,Gray Matter Volume of Right Accumbens,0.0004 ± 0.0001,0.0004 ± 0.0001,0.1797
