State properties,T-value,P-value
MDT (state 2),3.03,0.0050
PT (state 4),−2.25,0.0317
PSPT (state 4-state 1),−3.40,0.0019
PSPT (state 2-state 4),−2.18,0.0372
States,Network connectivity,"Percentage (hypo, %)"
State 1,Globally hypo-connected,63
State 2,Occipitally hypo-connected,20
State 3,Fronto-parietally hypo-connected,21
State 4,Subcortically hypo-connected,18
State 5,Globally hyperconnected,2
