Unnamed: 0_level_0,LSP (n = 24),HSP (n = 24),Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0
Characteristics,Mean ± SD,Mean ± SD,t Test/ Mann-Whitney,p,Cohen’s d
Pain tests,Pain tests,Pain tests,Pain tests,Pain tests,Pain tests
Cold pain threshold (sec),16.9±10.6,3.8±2.4,5.8,<0.001,1.7
"Cold pain intensity (NPS, 0–100)",59.0±30.5,79±20.8,-2.6,0.01,0.8
Cold pain tolerance (sec),180±0.0,13.3±4.8,167.6,<0.001,-
Heat pain threshold (°C),45.0±4.15,40.9±2.9,4.0,<0.001,1.14
Heat pain intensity (NPS 0–100),28.2±28.8,92.5±11.2,-10.1,<0.001,2.9
Mechanical pain threshold (KPa),508.9±387.4,225.5±73.7,3.51,0.001,1.0
Mechanical pain tolerance (KPa),1412.8±483.8,626.9±229.4,7.1,<0.001,2.0
Cognitive-affective states,Cognitive-affective states,Cognitive-affective states,Cognitive-affective states,Cognitive-affective states,Cognitive-affective states
PCS-total score,21.9±10.9,32.2±10.8,-3.2,0.002,0.9
PCS-rumination,8.4±4.7,11.5±3.8,-2.5,0.01,0.1
PCS-magnification,3.8±2.9,5.7±3.1,-2.1,0.03,0.6
PCS-helplessness,9.7±5.1,14.8±4.9,-3.4,0.001,1.0
Stress,6.5±7.7,7.7±7.2,-1.0,0.3,-0.02ǂ
Anxiety,2.1±2.4,4.7±6.5,-1.4,0.1,-0.04ǂ
Depression,5.6±8.3,5.6±7.1,-.50,0.6,-0.005ǂ
