Unnamed: 0,AAL brain regions,MNI coordinates,MNI coordinates.1,MNI coordinates.2,Size (voxel),Maximum t-value
,,x,y,z,,
ReHo,HCs > PDM,,,,,
,Cerebellum_8_L,−30,−57,−51,66.0,5.6497
,Temporal_Mid_L,−54,−6,−15,178.0,4.9547
,Temporal_Inf_L,−54,−57,−12,138.0,4.7607
,Rolandic_Oper_L,−42,−3,9,68.0,5.3535
,HCs<PDM,,,,,
,Hippocampus_R,24,−6,−21,130.0,5.3678
,Temporal_Pole_Sup_R,57,18,−18,82.0,4.7557
,N_Acc_R,12,9,−9,131.0,4.5073
,ACC_pre_R,6,45,0,90.0,5.6433
mALFF,HCs > PDM,,,,,
,Frontal_Mid_L,−12,51,−12,46.0,4.5023
,Postcentral_L,−21,−48,57,156.0,5.246
,HCs<PDM,,,,,
,Temporal_Inf_L,−45,−63,−9,881.0,5.8007
