Characteristics (mean ± SD),BD (n = 23),UD (n = 22),HC (n = 24),Analysis,Analysis
Characteristics (mean ± SD),BD (n = 23),UD (n = 22),HC (n = 24),F/χ2,p
Age (years),24.67 ± 6.17,27.57 ± 4.06,25.82 ± 5.42,− 2.064,0.014a
Education (years),11.41 ± 2.69,11.84 ± 2.69,10.78 ± 2.95,1.679,0.126a
Sex (male/female),12/11,12/10,13/11,0.185,0.911a
Duration of illness (months),9.59 ± 4.53,9.59 ± 4.53,–,− 6.518,< 0.001a
Chlorpromazine equivalents (mg),276.12 ± 245.86,259.00 ± 249.79,–,0.333,0.702b
HAMD,21.57 ± 4.67,20.05 ± 5.78,–,0.506,0.671b
YMRS,15.84 ± 7.7,14.29 ± 6.53,–,1.084,0.841b
WAIS-digit symbol,53.56 ± 12.08,69.50 ± 14.37,79.07 ± 11.44,27.365,< 0.001b
