Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,FMA upper extremity motor,FMA upper extremity motor,ARAT total,ARAT total
No.,ROI,Cluster location,Stage,r,p,r,p
1.0,Affected Insula,Unaffected Insula and FO (PMv),Before,0.255,0.450,0.531,0.093
,,,After,0.600,0.051,0.298,0.373
2.0,Unaffected Insula,Affected Insula and FO (PMv),Before,0.394,0.230,0.585,0.059
,,,After,0.133,0.698,0.578,0.063
3.0,Affected IPS,"Unaffected SMG, AG (IPL, IPS), SPL and LOC",Before,−0.457,0.158,−0.715,0.013*
,,,After,0.745,0.009*,0.700,0.017*
4.0,,Affected/Unaffected PaCiG and SFG,Before,−0.019,0.956,−0.257,0.446
,,,After,0.373,0.258,0.560,0.073
5.0,Unaffected IPS,"Affected SMG and AG (IPL, IPS)",Before,−0.392,0.233,−0.586,0.058
,,,After,0.495,0.121,0.123,0.719
6.0,Unaffected IPL,"Affected SPL, PostCG (S1) and SMG",Before,−0.138,0.685,−0.353,0.286
,,,After,0.191,0.574,0.231,0.494
7.0,,Affected Cerebellum Crus 2,Before,0.266,0.428,0.360,0.277
,,,After,0.078,0.821,0.002,0.996
8.0,Affecrted SMG,"Unaffected SMG (IPL, IPS) and SPL",Before,−0.002,0.996,−0.512,0.108
,,,After,−0.002,0.996,0.028,0.935
9.0,,Affected/Unaffected Vermis 4 5 and PC,Before,0.101,0.768,0.292,0.383
,,,After,0.691,0.019*,0.023,0.946
10.0,Affected PMd,Affected LOC and Precuneus (SPL),Before,−0.273,0.417,−0.267,0.428
,,,After,0.412,0.208,0.060,0.860
11.0,,"Affected PostCG (S1), SMG (IPL, IPS) and SPL",Before,−0.110,0.747,−0.594,0.054
,,,After,0.369,0.264,0.379,0.250
12.0,Affected SMA,"Affected preCG (M1), PostCG (S1) and SMG (IPS)",Before,0.205,0.545,−0.181,0.594
,,,After,−0.218,0.519,0.203,0.549
13.0,Unaffected PMd,"Unaffected PreCG (M1), PostCG (S1), SMG and SPL",Before,−0.507,0.111,−0.565,0.070
,,,After,−0.216,0.523,0.008,0.982
14.0,Unaffected IPS,Affected/Unaffected PaCiG and SFG,Before,−0.207,0.541,−0.130,0.704
,,,After,−0.272,0.419,−0.540,0.086
15.0,Unaffected IPL,"Unaffected SFG, PreCG and MidFG (PMd)",Before,−0.772,0.005*,−0.699,0.017*
,,,After,−0.106,0.757,−0.148,0.664
