Unnamed: 0,Before,After,p-value,Effect size (d)
Fugl-Meyer assessment scale,,,,
Shoulder/Elbow/Fore-arm,11.2 ± 2.9,13.4 ± 4.0**,0.003,0.63
Wrist,0.0 ± 0.0,0.1 ± 0.3,0.341,0.43
Hand,1.0 ± 0.0,1.0 ± 0.0,-,-
Upper extremity total score,12.2 ± 2.9,14.5 ± 4.0**,0.003,0.65
Modified Ashworth scale,,,,
2nd to 5th finger flexor muscles,3.7 ± 0.5,2.7 ± 1.0**,0.008,1.27
Wrist flexor muscles,3.0 ± 1.2,1.8 ± 1.1**,0.001,1.01
Action research arm test,,,,
Grasp,0.9 ± 1.5,1.6 ± 1.9,0.054,0.43
Grip,1.3 ± 1.4,1.9 ± 2.5,0.132,0.32
Pinch,0.2 ± 0.6,1.2 ± 2.1,0.085,0.64
Gross movement,2.9 ± 1.8,3.4 ± 1.9,0.138,0.25
Total score,5.3 ± 4.4,8.1 ± 7.6*,0.018,0.46
Box and Block test,0.5 ± 1.0,1.7 ± 3.0,0.066,0.57
Motor activity log,,,,
Amount of use,0.2 ± 0.3,0.5 ± 0.5**,0.007,0.73
Quality of movement,0.3 ± 0.5,0.5 ± 0.5**,0.008,0.49
