Side,Anatomical labels of MNI atlas,Functional labels,MNI coordinates,MNI coordinates,MNI coordinates
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,x,y,z
Affected hemisphere,Precentral gyrus,PMd,−30,−4,58
,Precentral gyrus,PMv,−50,5,22
,Supplementary motor area,SMA,−2,−7,55
,Precentral gyrus,M1,−37,−21,58
,Postcentral gyrus,S1,−40,−24,50
,Inferior parietal lobule,IPL,−33,−45,51
,Superior parietal lobule,SPL,−36,−54,60
,Intra parietal sulcus,IPS,−51,−42,45
,Supramarginal gyrus,SMG,−52,−30,46
,Insula lobe,Insula,−35,20,5
Unaffected hemisphere,Precentral gyrus,PMd,30,−4,58
,Precentral gyrus,PMv,50,5,22
,Supplementary motor area,SMA,2,−7,55
,Precentral gyrus,M1,37,−21,58
,Postcentral gyrus,S1,40,−24,50
,Inferior parietal lobule,IPL,33,−45,51
,Superior parietal lobule,SPL,36,−54,60
,Intra parietal sulcus,IPS,51,−42,45
,Supramarginal gyrus,SMG,52,30,46
,Insula lobe,Insula,35,20,5
