Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Before intervention,Before intervention,Before intervention,After intervention,After intervention,After intervention
No.,ROI,Side,Clusters (x y z),Voxels,Region of clusters,Clusters (x y z),Voxels,Region of clusters
(A),(A),(A),(A),(A),(A),(A),(A),(A)
1,Insula,Affected,56 12 2,32,Unaffected FO (PMv),26 20 8,94,Unaffected Insula and FO (PMv)
2,Insula,Unaffected,,,,−34 4 6,203,Affected Insula and FO (PMv)
3,IPS,Affected,52 −32 38,138,"Unaffected SMG, AG and PO (IPL, IPS)",46 −46 52,548,"Unaffected SMG, AG (IPL, IPS), SPL and LOC"
4,,,−2 26 40,97,Affected PaCiG and SFG,−2 24 48,207,Affected/Unaffected PaCiG and SFG
5,IPS,Unaffected,,,,−52 −46 48,246,"Affected SMG and AG (IPL, IPS)"
6,IPL,Unaffected,,,,−30 −48 66,251,"Affected SPL, PostCG (S1) and SMG"
7,,,,,,−30 −80 −36,110,Affected Cerebellum Crus 2*
8,SMG,Affected,48 −38 44,127,"Unaffected SMG, SPL and AG (IPL, IPS)",52 −34 50,240,"Unaffected SMG (IPL, IPS), and SPL"
9,,,,,,2 −40 8,45,Affected/Unaffected Vermis 4 5 and PC*
(B),(B),(B),(B),(B),(B),(B),(B),(B)
10,PMd,Affected,−16 −66 44,62,Affected LOC and Precuneus (SPL),−18 −68 60,239,Affected LOC and Precuneus (SPL)
11,,,,,,−42 −46 48,167,"Affected PostCG (S1), SMG (IPL, IPS) and SPL"
12,SMA,Affected,,,,−42 −20 44,97,"Affected preCG (M1), PostCG (S1) SMG (IPS)"
(C),(C),(C),(C),(C),(C),(C),(C),(C)
13,PMd,Unaffected,,,,52 −28 50,595,"Unaffected PreCG (M1), PostCG (S1), SMG and SPL"
14,IPS,Unaffected,,,,6 30 40,160,Affected/Unaffected PaCiG and SFG
15,IPL,Unaffected,,,,22 −8 68,141,"Unaffected SFG, PreCG and MidFG (PMd)"
