Unnamed: 0,DCP,SCP,HC,P value
Number of participants (N),16,18,18,
Age (mean years ± std),9.6 ± 5.0,8.9 ± 3.1,9.5 ± 2.2,0.818
Gender,"10 M, 6 F","10 M, 8 F","11 M, 7 F",0.907
GMFCS,"II: 3, III: 7, IV: 5, V: 1","I: 9, II: 5, III: 4",,0.003
ADL (mean scores ± std),38.44 ± 18,82.55 ± 3.4,,<0.001
Neuroimage finding (N),Neuroimage finding (N),Neuroimage finding (N),Neuroimage finding (N),Neuroimage finding (N)
White matter lesion,6,15,,
Cortical gray matter abnormality,1,0,,
Basal ganglia/thalamus abnormality,3,1,,
Normal (N),6,2,,
