Unnamed: 0_level_0,PCA1,PCA1,PCA2,PCA2,PCA3,PCA3,PCA4,PCA4,PCA5,PCA5,PCA6,PCA6,PCA7,PCA7,PCA8,PCA8,PCA9,PCA9,PCA10,PCA10
Unnamed: 0_level_1,pre,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre,post,pre,post
TQD60,−11.93,−5.29,−19.09,−16.39,−12.49,−7.84,−25.85,−18.19,0.73,0.73,−14.15,−6.03,−0.63,−0.18,−0.63,0.73,−22.25,−21.80,−10.09,−5.13
variation,6.64,6.64,2.70,2.70,4.65,4.65,7.66,7.66,0.00,0.00,8.12,8.12,0.45,0.45,1.35,1.35,0.45,0.45,4.95,4.95
DVL38,0.37,0.45,−5.79,−4.68,−0.04,0.10,−5.68,−3.02,0.05,0.60,−8.34,−6.63,−1.07,0.32,0.21,0.21,−6.63,−4.68,−0.70,−0.05
variation,0.08,0.08,1.11,1.11,0.14,0.14,2.66,2.66,0.56,0.56,1.71,1.71,1.39,1.39,0.00,0.00,1.95,1.95,0.65,0.65
Oral Comp.,−4.60,−3.32,−5.30,−7.58,−4.54,−5.08,−9.86,−8.95,−3.56,−3.56,−10.78,−7.12,−3.56,−4.06,−5.05,−4.06,−9.86,−10.32,−3.93,−3.01
Variation,1.28,1.28,−2.28,−2.28,−0.54,−0.54,0.91,0.91,0.00,0.00,3.65,3.65,−0.50,−0.50,0.99,0.99,−0.46,−0.46,0.91,0.91
Repetition,1.23,1.23,1.23,1.23,0.70,0.70,−27.89,−24.98,0.70,0.70,−2.65,−0.71,0.70,0.70,−2.33,−0.82,−27.89,−17.21,1.23,1.23
variation,0.00,0.00,0.00,0.00,0.00,0.00,2.91,2.91,0.00,0.00,1.94,1.94,0.00,0.00,1.52,1.52,10.68,10.68,0.00,0.00
Verbal fluency,−3.83,−2.21,−3.68,−3.13,−4.52,−4.52,−4.23,−3.50,−0.43,−0.27,−3.86,−3.50,2.21,−1.40,−1.72,−0.92,−2.95,−2.95,−2.21,−2.03
variation,1.62,1.62,0.55,0.55,0.00,0.00,0.73,0.73,0.16,0.16,0.37,0.37,0.81,0.81,0.81,0.81,0.00,0.00,0.18,0.18
