Significant connections,Significant connections,Significant connections,Significant connections,Significant connections,Significant connections
Harvard-Oxford regions,Harvard-Oxford regions,Harvard-Oxford regions,Mesulam subsystems,Mesulam subsystems,p-value
ASD > TD,ASD > TD.1,ASD > TD.2,ASD > TD,ASD > TD.1,ASD > TD
R Angular Gyrus (b),–,R Precuneus Cortex (p),Heteromodal,Heteromodal,<0.001
L Inferior Frontal Gyrus (pars opercularis) (h1),–,R Frontal Operculum Cortex (f),Heteromodal,Unimodal,<0.001
R Inferior Frontal Gyrus (pars triangularis) (h2),–,R Middle Temporal Gyrus (anterior division) (k1),Heteromodal,Heteromodal,<0.005
R Precentral Gyrus (o),–,L Inferior Temporal Gyrus (anterior division) (i1),Primary,Unimodal,<0.005
R Parahippocampal Gyrus (posterior division) (l2),–,R Parietal Operculum Cortex (m),Paralimbic,Unimodal,<0.005
R Amygdala (a),–,L Inferior Temporal Gyrus (temporo-occipital part) (i3),Limbic,Unimodal,<0.01
R Inferior Frontal Gyrus (pars opercularis) (h1),–,R Lateral Occipital Cortex (inferior division) (j1),Heteromodal,Unimodal,<0.01
L Inferior Temporal Gyrus (temporo-occipital part) (i3),–,R Lateral Occipital Cortex (inferior division) (j1),Unimodal,Unimodal,<0.01
R Lateral Occipital Cortex (superior division) (j2),–,L Frontal Medial Cortex (e),Unimodal,Paralimbic,<0.01
R Inferior Temporal Gyrus (temporo-occipital part) (i3),–,R Parahippocampal Gyrus (anterior division) (l1),Unimodal,Paralimbic,<0.01
L Inferior Frontal Gyrus (pars triangularis) (h2),–,R Temporal Fusiform Cortex (posterior division) (u),Heteromodal,Unimodal,<0.01
R Precentral Gyrus (o),–,R Temporal Fusiform Cortex (posterior division) (u),Primary,Unimodal,<0.01
R Lateral Occipital Cortex (inferior division) (j1),–,L Frontal Operculum Cortex (f),Unimodal,Unimodal,<0.01
R Superior Temporal Gyrus (posterior division) (r),–,L Supracalcarine Cortex (s),Unimodal,Unimodal,<0.01
L Subcallosal Cortex (q),–,L Supracalcarine Cortex (s),Paralimbic,Unimodal,<0.01
