References,"Study population, N, type of stroke, age",Duration of study,Type of imaging and imaging outcomes examined,Cognitive measures,Findings
fMRI,fMRI,fMRI,fMRI,fMRI,fMRI
Vicentini et al. (???),"First subacute IS patients with no previous known neurologic disorder. Time 1 (n = 37, mean age = 62.92 ± 9.49 years, stroke onset = 24.32 ± 7.44 days, NIHSS: 2.66 ± 3.45). Time 2 after 6 months (n = 20, stroke onset: 182.05 ± 8.17 days). Cognitively healthy controls (n = 20)","6 months: 2-time points. fMRI and cognitive assessments were done at time 1 (subacute phase, within the first month) and 2 (chronic phase, after 6 months).","rsFC Three networks were examined: DMN, SN, and CEN network.",MoCA,"At time 1 Patients had weaker interhemispheric connectivity in the DMN than controls (p = 0.028, FDR-corrected). Better cognitive performance was associated with a stronger interhemispheric (r = 0.409, FDR p = 0.058) and ipsilesional DMN connectivity (r = 449, FDR p = 0.068) and weaker contralesional SN connectivity (r = −0.426, FDR p = 0.049) At time 2 No change in functional connectivity in patients compared to time 1. Better cognitive recovery at time 2 was associated with stronger DMN connectivity (r = 0.511, FDR p = 0.090) and weaker SN interhemispheric subacute connectivity (r = −0.638, FDR p = 0.076)"
"MRI: T1-weighted MRI, T2-weighted MRI, FLAIR","MRI: T1-weighted MRI, T2-weighted MRI, FLAIR","MRI: T1-weighted MRI, T2-weighted MRI, FLAIR","MRI: T1-weighted MRI, T2-weighted MRI, FLAIR","MRI: T1-weighted MRI, T2-weighted MRI, FLAIR","MRI: T1-weighted MRI, T2-weighted MRI, FLAIR"
Fruhwirth et al. (???),"Recent small subcortical infarct (RSSI) patients (≤ 25 mm), no preexisting cognitive impairment (N = 82, mean age = 61 ± 10 years, 23% female)",15 months: Baseline cognitive assessment at time 1 (mean 6 days post-stroke) and time 2 (15 months). MRI at Time 1.,WMH lesion volume.,"MoCA, Symbol Digital Modalities Test, Comprehensive Trail Making Test","All patients improved on MoCA, SDMT (processing speed) after 15 months, regardless of WMH severity (p = 0.011 for MoCA, p = 0.010 for SDMT (processing speed); after age adjustment, no difference between WMH severity and MoCA (p = 0.109) or SDMT (processing speed) (p = 0.414). No differences between CTMT-2 (attention) scores and WMH."
,,,,,"CTMT-5 (set-shifting): no improvement for patients with mild (p = 0.086) or moderate-severe WMH (p = 0.801) at 15 months, compared to improvement in patients without WMH (p = 0.001). Same results even when corrected for age. WMH volume at baseline was only significant factor that predicted attention at 15 month follow up (p = 0.002) beyond demographics."
Scharf et al. (???),"Acute first-ever ischemic thalamic stroke, >18 yo Exclusion: previous psychiatric/neuro disorders (N = 37 case, 37 controls)","2 years: Neuropsychological assessment at time 1 (1 month), time 2 (6 month), time 3 (12 month) and time 4 (24 month) MRI at time 1, time 2, and time 4.","MRI—T1, T2, FLAIR, DWI","Digit span, rivermead behavioral memory test, Regensburg semantic and phonemic word fluency, TMA A/B, Stroop","Paramedian thalamic stroke patients demonstrated moderate language and executive deficits, with the best recovery of the three thalamic stroke topographies. Anterior thalamic stroke patients demonstrated the most severe deficits in verbal memory, language, and executive functions, which poorly recovered during follow-up. Inferolateral stroke patients also suffered from verbal memory, language, and executive deficits; the verbal memory and executive deficits recovered during follow-up, while the language deficits persisted."
Sagnier et al. (???),"Acute Ischemic supratentorial stroke patients with no previous neuropsychiatric disorder or dementia (n = 199, mean age = 65 ± 13, NIHSS median = 3 (4)","1 year: cognitive assessment was done at time 1 (baseline), time 2 (after 3 months), and time 3 (after 1 year). MRI was done at time 1 only (baseline between 24 and 72 h).","WMH, deep and lobar microbleeds, enlarged perivascular spaces in basal ganglia and centrum semiovale, previous small deep infarcts, and cSS.",MoCA ZCT processing speed and attention IST of verbal fluency for executive function.,"- Cognitive performance improved more significantly in the first 3 months. - Severe WMH was identified in 34% of the patients, and cSS in 3.5%. Patients with severe WMH and focal cSS had overall worse cognitive performances."
,,,,,"- Patient with severe WMH had less improvement over time in IST of verbal fluency (β = −0.16, p = 0.02) and the number of errors to ZCT (β = 0.19, p = 0.02). Those with focal cSS had less improvement over time for ZCT completion time (β = 0.14, p = 0.01) and number of errors (β = 0.17, p = 0.008)."
Sagnier et al. (???),"Acute Ischemic supratentorial stroke patients with no previous neuropsychiatric disorder or dementia (n = 199, mean age = 67 ± 14, NIHSS ≥1)","One year: 3-time points cognitive assessment was done at time 1 (baseline), time 2 (after 3 months), and time 3 (after 1 year). MRI was done at time 1 only (baseline between 24 and 72 h)",CMI.,MoCA The Zazzo's cancellation task (ZCT) for processing speed and attention Issac set a test for verbal fluency (IST),"The number of CMI was associated with increased time at the ZCT over 1 year regardless of the other MRI markers, stroke severity, and demographic factors (B = 3.84, P = 0.01)."
Sagnier et al. (???),"Acute supratentorial ischemic stroke without prestroke disability related to neurological disorder, mRS > 1 at baseline (N = 248, mean age 65 ± SD 14 years old, 66% men)","12 months: Baseline MRI Cognitive assessment at time 1 (within 24–72 h), time 2 (after 3 months), and time 3 (after 12 months)","WMH + stroke volume, gray matter (GM), white matter, and CSF volume.","Cognitive assessment: MoCA, Isaacs Set Test (IST), Zazzo's cancellation test Cognitive improvement, stability, or decline calculated using all 3 time points","- Radiographic model only: total GM volume was the only variable predictive of changes in all cognitive scores over the year of follow-up (P < 0.001 for MoCA, P = 0.03 for IST, P = 0.002 for time to perform Zazzo's cancellation task and P < 0.001 for the number of errors) - In clinical/radiographic model: total GM volume independently associated with cognition [MoCA (P = 0.04) and Zazzo's cancellation task (P = 0.04)] - GM volume of left fronto-temporo-insular regions, right temporo-insular cortex, and basal ganglia was significantly associated with cognitive improvement."
