MVPAcluster,rTVAL sup occ,rTVAR inf par,rTVAR sup temp,rTVAR front inf,rTVAL mid occ − 36 − 81 48,rTVAR thalamus 6 − 21 21,lTVAL sup occ,lTVAR inf par,lTVAR sup temp,lTVAR front inf,lTVAL front sup − 15 6 69
rTVAL sup occ,,,,,,,,,,,
rTVAR inf par,–,,,,,,,,,,
rTVAR sup temp,–,–,,,,,,,,,
rTVAR front inf,–,–,1,,,,,,,,
rTVAL mid occ − 36 − 81 48,2,–,–,–,,,,,,,
rTVAR thalamus 6 − 21 21,–,–,–,–,–,,,,,,
lTVAL sup occ,2,–,–,–,–,–,,,,,
lTVAR inf par,–,1,–,–,–,–,–,,,,
lTVAR sup temp,–,–,–,–,–,–,–,–,,,
lTVAR front inf,–,–,–,7,–,–,–,–,–,,
lTVAL front sup − 15 6 69,2,–,–,2,–,–,–,–,–,2,
lTVAR pariet sup 15 − 78 48,1,–,–,1,–,–,1,–,–,–,–
