Region(aal),Peak MNI coordinate,Peak MNI coordinate,Peak MNI coordinate,F/t,Cluster number
Unnamed: 0_level_1,x,y,z,Unnamed: 4_level_1,Unnamed: 5_level_1
ANOVA,,,,,
L Inferior Parietal Lobule/Precuneus/Middle Temporal Gyrus,−45,−51,51.0,8.7072,"1,178"
R Inferior Parietal Lobule,48,−45,36.0,7.3382,263
B Superior Frontal Gyrus,12,24,66.0,8.1821,498
SCD>HC,,,,,
L Superior Frontal Gyrus,−12,36,51.0,4.4635,20
R Superior Frontal Gyrus,12,33,54.0,4.1155,33
aMCI>HC,,,,,
R Inferior Parietal Lobule,36,−66,45.0,4.5565,122
L Inferior Parietal Lobule,−45,−51,51.0,4.0654,23
naMCI>HC,,,,,
L Inferior Parietal Lobule,−42,−45,42.0,3.931,82
aMCI>SCD,,,,,
L Middle Temporal Gyrus,−45,−51,21.0,4.9974,15
L Precuneus,−27,−60,33.0,4.1604,62
L Inferior Parietal Lobule,,,,,
naMCI>SCD,−36,−45,42.0,4.0831,68
L Inferior Parietal Lobule,−45,−45,57.0,6.6488,262
