Unnamed: 0_level_0,ST,ST,ST,ST,ST,DT,DT,DT,DT,DT
Unnamed: 0_level_1,ER group (n = 20),CR group (n = 20),HC group (n = 20),F^,p^,ER group (n = 20),CR group (n = 20),HC group (n = 20),F^,p^
Gait speed (m/s),,,,,,,,,,
Pre-intervention,1.17 ± 0.08,1.16 ± 0.10,1.19 ± 0.05,0.56,0.53,0.79 ± 0.11???,0.76 ± 0.16???,1.09 ± 0.08???,46.67,0.4
Post-intervention,1.18 ± 0.07,1.17 ± 0.08,,0.91,0.37,0.91 ± 0.15??????,0.78 ± 0.11???,,3.17,0.0
CV of gait speed (%),,,,,,,,,,
Pre-intervention,6.67 ± 1.58???,6.65 ± 1.23???,4.42 ± 1.19???,17.66,0.96,15.46 ± 3.33???,15.62 ± 3.71???,8.24 ± 1.01???,39.11,0.87
Post-intervention,5.13 ± 0.92?????????,6.76 ± 1.13*,,−4.87,0.0,12.81 ± 3.14?????????,15.48 ± 3.69???,,−2.41,0.0
Stride length (m),,,,,,,,,,
Pre-intervention,1.13 ± 0.13,1.11 ± 0.13,1.11 ± 0.07,0.15,0.72,0.82 ± 0.11???,0.83 ± 0.18???,1.03 ± 0.09???,14.24,0.87
Post-intervention,1.14 ± 0.09,1.09 ± 0.13,,1.46,0.15,0.92 ± 0.08?????????,0.84 ± 0.14???,,2.46,0.01
CV of stride length (%),,,,,,,,,,
Pre-intervention,9.74 ± 2.14???,9.94 ± 2.53???,6.12 ± 1.93???,17.99,0.77,15.06 ± 4.78???,15.29 ± 4.16???,7.79 ± 1.05???,25.15,0.85
Post-intervention,7.11 ± 1.99?????????,9.92 ± 2.31???,,−4.03,0.0,11.33 ± 3.58?????????,15.32 ± 4.20???,,−3.15,0.0
