Unnamed: 0,MVA,MVA.1,TTS,TTS.1,AMI,AMI.1,CHI2
General,General,General,General,General,General,General,General
Mean age,68.8,,71.1,,65.8,,P=0.15
Sex (female),15,93.8%,16,94.1%,14,82.4%,P=0.43
Retired,14,87.5%,16,94.1%,13,76.5%,P=0.326
Right handed,16,100.0%,17,100.0%,17,100.0%,
Time from TTS or AMI (months),,,,44.6±20.2,,80.0±54.9,
Angina CCS class (maximal),,,,,,,
I,0,0.0%,,,1,5.6%,
II,7,41.2%,,,0,0.0%,
III,3,17.6%,,,0,0.0%,
IV,7,41.2%,,,0,0.0%,
Angina during,,,,,,,
Emotional stress,3,17.6%,,,0,0.0%,
Environmental exposure,2,11.8%,,,0,0.0%,
Angina frequency,,,,,,,
Daily,2,11.8%,,,0,0.0%,
<1/weekly,10,58.8%,,,1,5.6%,
>1/weekly,5,29.4%,,,0,0.0%,
NYHA class,,,,,,,
I,13,76.5%,,,2,11.1%,
II,4,23.5%,,,15,88.9%,
LVEF (%),,,,,,58.0±10.1,
Classic cardiovascular risk factors,Classic cardiovascular risk factors,Classic cardiovascular risk factors,Classic cardiovascular risk factors,Classic cardiovascular risk factors,Classic cardiovascular risk factors,Classic cardiovascular risk factors,Classic cardiovascular risk factors
Hypertension,10,62.5%,8,47.10%,14,82.4%,P=0.10
Hyperlipidaemia,9,56.3%,15,88.2%,16,94.1%,P=0.014*
Diabetes mellitus,1,6.3%,2,11.8%,4,23.5%,P=0.34
Active smoker,1,6.3%,2,11.8%,2,11.8%,P=0.83
Previous smoker,5,31.3%,5,29.4%,8,47.1%,P=0.5
Family history,12,75.0%,9,52.9%,14,82.4%,P=0.15
Psychiatric medical history,Psychiatric medical history,Psychiatric medical history,Psychiatric medical history,Psychiatric medical history,Psychiatric medical history,Psychiatric medical history,Psychiatric medical history
Known major depression,0,0.0%,1,5.9%,2,11.8%,P=0.36
Known anxiety disorder,0,0.0%,4,23.5%,2,11.8%,P=0.11
Known psychotic disorder,0,0.0%,0,0.0%,0,0.0%,
Psychotropic medications,Psychotropic medications,Psychotropic medications,Psychotropic medications,Psychotropic medications,Psychotropic medications,Psychotropic medications,Psychotropic medications
Antiepileptic,0,0.0%,0,0.00%,0,0.0%,
Atypical neuroleptic,1,6.3%,1,5.90%,0,0.0%,P=0.584
Benzodiazepine,6,37.5%,7,41.2%,5,29.4%,P=0.766
Non-BDZ hypnotic,1,6.3%,1,5.9%,1,P=5.9%,P=0.999
SNRI,0,0.0%,1,5.9%,1,5.9%,P=0.613
SSRI,0,0.0%,3,17.6%,4,23.5%,P=0.13
III generation neuroleptic,0,0.0%,0,0.0%,0,0.0%,
Tricyclic antidepressant,1,6.3%,1,5.9%,0,0.0%,P=0.584
Typical neuroleptic,0,0.0%,0,0.0%,1,5.9%,P=0.371
5-HT1A partial agonist,0,0.0%,0,0.0%,0,0.0%,
IMAO,0,0.0%,0,0.0%,0,0.0%,
