Unnamed: 0,Amblyopes,Healthy controls
N,18,18
Age (years),Age (years),Age (years)
Mean ± SD,23.7 ± 1.9,25.2 ± 1.8
Minimum: median: maximum,20: 24: 27,23: 25: 29
Sex,Sex,Sex
Female: male,6: 12,4: 14
Best Corrected visual acuity (logMAR),Best Corrected visual acuity (logMAR),Best Corrected visual acuity (logMAR)
Mean ± SD,Mean ± SD,Mean ± SD
Fellow (dominant) eye,0.01 ± 0.06,0.00 ± 0.03
Amblyopic (nondominant) eye,0.59 ± 0.23,0.02 ± 0.04
Minimum: median: maximum,Minimum: median: maximum,Minimum: median: maximum
Fellow (dominant) eye,−0.08: 0.00: 0.10,−0.08: 0.00: 0.10
Amblyopic (nondominant) eye,0.30: 0.56: 1.00,0.00: 0.00: 0.10
