Unnamed: 0_level_0,N = 41,N = 41
Sample characteristics,Mean (SD),Median (range)
Age in years,68.22 (8.44),69 (46–83)
Hoehn & Yahr stage,2.24 (0.54),2 (1–4)
UPDRS motor score,36.38 (13.37),32 (7–71)
MoCA total score,27.00 (2.28),27 (20–30)
LEDD in mg,737.76 (383.64),605 (150–1747.50)
Education in years,14.17 (3.25),13 (10–21)
Global cognition z-score,-0.15 (0.48),-0.07 (-1.15–0.62)
BDI-II total score,11.83 (7.31),11 (1–28)
FFMQ-D total score,137.46 (19.04),141 (96–179)
FFMQ-D subscale Observing,26.27 (5.79),26 (16–39)
FFMQ-D subscale Describing,27.71 (6.56),27 (17–40)
FFMQ-D subscale Acting with awareness,29.20 (4.52),30 (19–38)
FFMQ-D subscale Non-judging,31.44 (5.36),32 (20–40)
FFMQ-D subscale Non-reactivity,22.85 (4.80),23 (12–35)
TAP omissions,7.80 (7.47),5 (0–28)
Digit span forwards,7.46 (1.43),8 (4–11)
Digit span backwards,6.12 (1.62),6 (3–10)
Spatial span forwards,7.07 (1.40),7 (4–10)
Spatial span backwards,6.39 (1.28),6 (4–9)
RWT lexical verbal fluency,16.93 (7.24),16 (4–36)
RWT alternating lexical verbal fluency,19.95 (6.32),19 (9–36)
RWT semantic verbal fluency,32.51 (10.43),31 (7–54)
RWT alternating semantic verbal fluency,19.95 (5.51),19 (11–31)
Trail Making Test B/A,2.43 (0.65),2.28 (1.44–4.46)
WAIS-IV Vocabulary total score,42.37 (8.51),43 (14–57)
WAIS-IV Similarities total score,26.05 (4.80),27 (15–34)
ECFT-MI recognition score,14.32 (5.24),13 (4–25)
ECFT-MI matching score,9.68 (0.61),10 (8–10)
VLMT Verbal Learning Memory,7.56 (3.38),7 (0–15)
(Number of recalled words after 30 minutes),,
ISAm-PD test symptoms,,
Total symptom severity,9.20 (6.29),8 (1–28)
Symptom severity hypokinesia,6.80 (5.46),6 (0–28)
Symptom severity Dyskinesia,2.39 (3.60),1 (0–15)
ISAm-PD test awareness,,
Total ISAm severity,5.71 (4.69),5 (0–19)
ISAm severity hypokinesia,4.05 (4.29),3 (0–19)
ISAm severity dyskinesia,1.66 (2.95),0 (0–15)
