Unnamed: 0_level_0,n = 15,n = 15
Sample characteristics,Mean (SD),Median (range)
Age in years,64.33 (8.38),66 (46–79)
Hoehn & Yahr stage,2.00 (0.38),2 (1–3)
UPDRS motor score,33.43 (10.93),34 (7–48)
MoCA total score,26.67 (2.26),26 (24–30)
LEDD in mg,713.00 (383.75),562 (150–1505)
Education in years,15.33 (3.42),15 (10–21)
Global cognition z-score,-0.01 (0.44),0.06 (-0.93–0.62)
BDI-II total score,9.53 (5.38),10 (1–20)
FFMQ-D total score,141.00 (20.52),146 (104–179)
FFMQ-D subscale Observing,27.47 (5.74),28 (17–39)
FFMQ-D subscale Describing,27.00 (6.78),26 (17–40)
FFMQ-D subscale Acting with awareness,30.27 (4.65),31 (22–38)
FFMQ-D subscale Non-judging,31.67 (5.91),32 (21–40)
FFMQ-D subscale Non-reactivity,24.60 (5.19),25 (13–35)
TAP omissions,5.27 (5.99),3 (0–22)
Digit span forwards,7.80 (1.42),8 (6–11)
Digit span backwards,6.87 (1.81),7 (4–10)
Spatial span forwards,7.20 (1.61),7 (4–10)
Spatial span backwards,6.80 (1.42),7 (4–9)
RWT lexical verbal fluency,18.13 (6.00),18 (7–27)
RWT alternating lexical verbal fluency,20.60 (6.73),20 (9–36)
RWT semantic verbal fluency,33.40 (10.29),31 (19–50)
RWT alternating semantic verbal fluency,21.20 (5.89),22 (12–29)
Trail Making Test B/A,2.49 (0.76),2.25 (1.46–4.46)
WAIS-IV Vocabulary total score,43.93 (7.92),44 (27–57)
WAIS-IV Similarities total score,27.87 (3.70),28 (22–34)
ECFT-MI recognition score,15.20 (6.44),15 (4–25)
ECFT-MI matching score,9.67 (0.72),10 (8–10)
Verbal Learning Memory,6.93 (3.60),7 (0–14)
(Number of recalled words after 30 minutes),,
ISAm-PD test symptoms,,
Total symptom severity,7.47 (4.07),9 (1–13)
Symptom severity hypokinesia,5.67 (3.62),5 (1–11)
Symptom severity Dyskinesia,1.80 (2.27),1 (0–7)
ISAm-PD test awareness,,
Total ISAm severity,4.40 (4.00),4 (0–11)
ISAm severity hypokinesia,3.00 (3.51),2 (0–10)
ISAm severity dyskinesia,1.40 (2.00),1 (0–7)
