Unnamed: 0,Brain region,Lat,X (mm),Y (mm),Z (mm),Vol (cm),Z-stat
Auditory,,,,,,,
Migraine > Control,Cortical,,,,,,
,Parietal,,,,,,
,Supramarginal,R,58.0,-46.0,24.0,1.51,4.51
Migraine < Control,Cortical,,,,,,
,Parietal,,,,,,
,Supramarginal,R,62.0,-18.0,24.0,1.43,3.27
,,L,-54.0,-22.0,16.0,1.16,3.17
,Occipital,,,,,,
,Rolandic Operculum,R,62.0,2.0,12.0,1.78,3.1
DMN – B (6),,,,,,,
Migraine > Control,Cortical,,,,,,
,Parietal,,,,,,
,Postcentral,L,-30.0,-34.0,60.0,1.03,2.97
,Precuneus,L,-2.0,-62.0,36.0,2.49,3.21
,Occipital,,,,,,
,Calcarine,R,30.0,-62.0,12.0,1.59,2.71
,Cuneus,R,14.0,-86.0,24.0,1.04,3.08
CEN – B (16),,,,,,,
Migraine > Control,Cortical,,,,,,
,Parietal,,,,,,
,Supramarginal,R,58.0,-46.0,36.0,1.86,3.51
SMN – C (23),,,,,,,
Migraine > Control,Cortical,,,,,,
,Parietal,,,,,,
,Precuneus,R,26.0,-58.0,28.0,1.11,4.88
Migraine < Control,Cortical,,,,,,
,Parietal,,,,,,
,Supramarginal,L,-50.0,-38.0,24.0,1.63,3.59
Occipital VN – A (39),,,,,,,
Migraine > Control,Cortical,,,,,,
,Occipital,,,,,,
,Inferior,R,46.0,-74.0,-16.0,1.0,3.18
,Cuneus,R,14.0,-86.0,28.0,1.23,3.04
,Temporal,,,,,,
,Fusiform,R,38.0,-38.0,-28.0,1.05,2.93
,Brainstem/Cerebellum,,,,,,
,PAG,,6.0,-30.0,-8.0,1.38,3.03
,Cerebellum 9,L,-22.0,-46.0,-44.0,1.08,3.74
,Cerebellum Crus 2,L,-18.0,-82.0,-32.0,1.37,3.69
,,,,,,,
