Unnamed: 0,Brain region,Lat,X (mm),Y (mm),Z (mm),Vol (cm),Z-stat
Cerebellum,,,,,,,
,Brain region,Lat,X (mm),Y (mm),Z (mm),Vol (cm),Z-stat
DMN – C (35),,,,,,,
,Cortical,,,,,,
,Frontal,,,,,,
,Precentral,R,30,-10,56,1,3.09
,Temporal,,,,,,
,Superior,R,46,-26,-4,1.3,3.69
,Parahippocampus,,,,,,
,Thalamus,R,6,-22,8,1.61,3.42
CEN – B (16),,,,,,,
,Cortical,,,,,,
,Frontal,,,,,,
,Superior medial,L,-2,26,48,1.03,3.53
,,L,2,34,40,1.26,3.33
,Parietal,,,,,,
,Supramarginal,R,62,-38,36,7.06,4.53
,Precuneus,L,-14,-42,68,1.01,3.54
,Superior,R,34,-46,60,1.16,3.62
,Parahippocampus,,,,,,
,Putamen,R,30,-10,4,1.15,4.06
SMN – D (36),,,,,,,
,Cortical,,,,,,
,Parietal,,,,,,
,Inferior,L,-30,-42,40,1.14,3.18
,Cingulum,,,,,,
,Middle,R,2,-2,32,1.38,2.63
,Insula,,,,,,
,Posterior,L,-38,-14,16,1.28,3.12
,Sub-cortical,,,,,,
,Hippocampus,L,-22,-22,-16,1.29,3.29
,,,,,,,
Lateral VN – A (07),,,,,,,
,Cortical,,,,,,
,Parietal,,,,,,
,Angular,R,42,-62,28,1.02,3.89
Lateral VN – B (62),,,,,,,
,Cortical,,,,,,
,Parietal,,,,,,
,Precuneus,R,18,-78,48,1.92,3.43
,Occipital,,,,,,
,Calcarine,R,18,-78,8,1.65,3.51
,Superior,R,26,-86,12,1.27,3.45
,Temporal,,,,,,
,Middle,L,-50,-26,-4,1.23,3.55
,,,,,,,
,,,,,,,
