Unnamed: 0_level_0,Adolescents,Adolescents,Adolescents,Adolescents,Young adults,Young adults,Young adults,Young adults
Unnamed: 0_level_1,Healthy controls,Healthy controls,Migraine patients,Migraine patients,Healthy controls,Healthy controls,Migraine patients,Migraine patients
Unnamed: 0_level_2,Overall,Overall.1,Overall,Overall.1,Overall,Overall.1,Overall,Overall.1
N,18,18,18,18,18,18,18,18
Age (year) [Mean ± SD (range)],15.21 ± 1.93 (12–19),15.21 ± 1.93 (12–19),15.24 ± 1.67 (12–18),15.24 ± 1.67 (12–18),22.91 ± 2.08 (20–27),22.91 ± 2.08 (20–27),23.22 ± 2.07 (20–27),23.22 ± 2.07 (20–27)
,,,,,,,,
,Male,Female,Male,Female,Male,Female,Male,Female
,,,,,,,,
N,9,9,9,9,9,9,9,9
Age (year) (Mean ± SD),15.04 ± 1.99,15.39 ± 1.96,15.21 ± 1.67,15.27 ± 1.78,23.19 ± 2.42,22.63 ± 1.78,23.57 ± 2.21,22.87 ± 1.99
,,,,,,,,
