Unnamed: 0,Brain region,Lat,X (mm),Y (mm),Z (mm),Vol (cm),Z-stat
Cerebellum,,,,,,,
,Cortical,,,,,,
,Parietal,,,,,,
,Supramarginal,R,34.0,-38.0,40.0,2.64,4.43
,Sub-cortical,,,,,,
,Putamen,R,34.0,-2.0,4.0,1.26,3.78
DMN – A (03),Cortical,,,,,,
,Frontal,,,,,,
,Medial superior,L,-6.0,42.0,48.0,1.11,2.55
,Olfactory,L,-2.0,18.0,-16.0,1.7,3.54
,Precentral,L,-38.0,-2.0,28.0,1.55,3.12
,,L,-30.0,-10.0,64.0,1.31,3.06
,Parietal,,,,,,
,Supramarginal,R,58.0,-14.0,24.0,1.71,3.3
,Postcentral,R,26.0,-38.0,48.0,1.49,3.34
,Precuneus,R,2.0,-46.0,52.0,2.3,2.97
,,L,-6.0,-46.0,8.0,6.86,4.14
,,R,6.0,-58.0,32.0,9.77,3.07
,,R,18.0,-70.0,40.0,2.29,3.95
,,R,14.0,-74.0,44.0,3.08,4.06
,,L,-6.0,-82.0,44.0,3.33,4.05
,Superior,R,14.0,-50.0,64.0,1.39,3.01
,Inferior,R,46.0,-50.0,56.0,1.66,2.71
,,R,38.0,-54.0,44.0,1.42,2.51
,Occipital,,,,,,
,Calcarine,R,14.0,-86.0,4.0,2.55,3.44
,Temporal,,,,,,
,Middle,L,-50.0,-30.0,0.0,2.47,3.93
,,L,-46.0,-58.0,8.0,1.36,2.92
,Lingual,R,22.0,-82.0,-8.0,1.26,3.07
,Cingulum,,,,,,
,Middle,L,-6.0,-42.0,36.0,1.43,2.41
,Insula,,,,,,
,Anterior,L,-34.0,10.0,4.0,1.26,3.01
,Posterior,L,-34.0,-10.0,16.0,2.17,3.35
,,L,-42.0,-10.0,4.0,1.18,2.82
,Cerebellum,,,,,,
,Cerebellum 6,L,-22.0,-58.0,-28.0,1.8,3.64
,Cerebellum crus 2,L,-30.0,-78.0,-40.0,3.33,3.59
DMN – C (35),,,,,,,
,Cortical,,,,,,
,Frontal,,,,,,
,Inferior Operculum,R,50.0,18.0,0.0,1.55,4.09
,Parietal,,,,,,
,Postcentral,R,46.0,-26.0,60.0,1.07,3.26
,Temporal,,,,,,
,Superior,R,58.0,-46.0,20.0,1.44,3.34
Lateral VN – B (62),,,,,,,
,Cortical,,,,,,
,Parietal,,,,,,
,Angular,R,34.0,-66.0,44.0,2.02,3.95
,,R,38.0,-66.0,48.0,1.27,3.82
,Occipital,,,,,,
,Superior,L,-22.0,-78.0,40.0,1.44,2.84
,Inferior,L,-34.0,-82.0,-12.0,1.69,3.35
,Temporal,,,,,,
,Middle,R,54.0,-54.0,4.0,2.93,3.53
,Inferior,R,50.0,-54.0,-12.0,1.33,2.85
,Lingual,L,-26.0,-54.0,-8.0,1.37,3.7
,,L,-14.0,-82.0,-4.0,1.28,3.2
,Cingulum,,,,,,
,Posterior,L,-10.0,-50.0,32.0,1.08,2.96
,Sub-cortical,,,,,,
,Hippocampus,R,26.0,-14.0,-20.0,1.0,3.42
,Cerebellum,,,,,,
,Cerebellum_4_5,R,22.0,-50.0,-20.0,1.06,3.67
Medial VN – A (00),,,,,,,
,Cortical,,,,,,
,Frontal,,,,,,
,SMA,L,-2.0,-6.0,72.0,1.76,3.61
,Parietal,,,,,,
,Postcentral,L,-46.0,-14.0,44.0,1.78,4.02
,,R,38.0,-30.0,64.0,1.3,3.67
,Occipital,,,,,,
,Cuneus,L,-14.0,-82.0,36.0,1.98,3.04
,Temporal,,,,,,
,Lingual,R,26.0,-46.0,-4.0,1.44,3.13
,,R,18.0,-62.0,-8.0,1.37,3.06
,Cerebellum,,,,,,
,Cerebellum_4_5,R,18.0,-46.0,-16.0,1.35,3.39
,,,,,,,
