CALSNIC Site,University of Alberta,University of British Columbia,University of Calgary,McGill University,University of Toronto
Scanner model,Siemens 3 Tesla Prisma,Philips 3 Tesla Intera,GE 3 Tesla Discovery MR 750,Siemens 3 Tesla Triotrim,GE 3 Tesla Discovery MR 750
Software version,syngo MR E11,3.2.31,DV25.0_EB_1442.a,syngo MR B17,DV25.0_EB_1442.a
"3D T1-weighted scan, axial acquisition","3D T1-weighted scan, axial acquisition","3D T1-weighted scan, axial acquisition","3D T1-weighted scan, axial acquisition","3D T1-weighted scan, axial acquisition","3D T1-weighted scan, axial acquisition"
"Repetition time, ms",2300,7.9,min (7.4),2300,min (7.4)
"Echo time, ms",3.43,3.5,min (3.1),3.43,min (3.1)
"Inversion time, ms",900,950,400,900,400
"Flip angle, degrees",9,8,11,9,11
"Field of view, mm",256 × 256,240 × 240,256 × 256,256 × 256,256 × 256
"Matrix dimension, pixels",256 × 256,240 × 240,256 × 256,256 × 256,256 × 256
"Voxel dimension, mm",1 × 1 × 1,1 × 1 × 1,1 × 1 × 1,1 × 1 × 1,1 × 1 × 1
"Slices, n",176,150,176,176,176
"Acquisition times, min",05:30,06:08,04:30,05:30,04:30
"Diffusion Tensor Imaging, axial acquisition","Diffusion Tensor Imaging, axial acquisition","Diffusion Tensor Imaging, axial acquisition","Diffusion Tensor Imaging, axial acquisition","Diffusion Tensor Imaging, axial acquisition","Diffusion Tensor Imaging, axial acquisition"
"Repetition time, ms","10,000","11,848",9000,"10,000",9000
"Echo time, ms",90.0,56.0,min (80),90.0,min (80)
"Field of view, mm",256 × 256,256 × 256,256 × 256,256 × 256,256 × 256
"Matrix dimension, pixels",128 × 128,128 × 126,128 × 128,128 × 128,128 × 128
"Voxel dimension, mm",2 × 2 × 2,2 × 2 × 24,2 × 2 × 2,2 × 2 × 2,2 × 2 × 2
"Diffusion directions, n",30,30,30,30,30
Diffusion b-value,1000,1000,1000,1000,1000
Diffusion images with b = 0,5,5,5,5,5
"Slices, n",70,70,70,70,70
"Acquisition times, min",07:40,06:31,05:24,07:40,05:24
"Resting-state functional MRI, axial acquisition","Resting-state functional MRI, axial acquisition","Resting-state functional MRI, axial acquisition","Resting-state functional MRI, axial acquisition","Resting-state functional MRI, axial acquisition","Resting-state functional MRI, axial acquisition"
"Repetition time, ms",2200,2200,2200,2200,2200
"Echo time, ms",30.0,30.0,30.0,30.0,30.0
"Flip angle, degrees",70,70,70,70,70
"Field of view, mm",224 × 224,224 × 224,224 × 224,224 × 224,224 × 224
"Matrix dimension, pixels",64 × 64,64 × 64,64 × 64,64 × 64,64 × 64
"Voxel dimension, mm",3.5 × 3.5 × 3.5,3.5 × 3.5 × 3.5,3.5 × 3.5 × 3.5,3.5 × 3.5 × 3.5,3.5 × 3.5 × 3.5
"Trains, n",192,192,192,192,192
"Slices, n",40,40,40,40,40
"Acquisition times, min",07:00,07:16,07:00,07:00,07:00
