Index,Short name,Long Name,Index.1,Short name.1,Long Name.1
1,Accumbens-area,Accumbens area,43,G temp sup G T transv,Anterior transverse temporal gyrus of Heschl
2,Amygdala,Amygdala,44,G temp sup Lateral,Lateral aspect of the superior temporal gyrus
3,Brain Stem,Brain Stem,45,G temp sup Plan polar,Planum polare of the superior temporal gyrus
4,Caudate,Caudate,46,G temp sup Plan tempo,Planum temporale or temporal plane of the superior temporal gyrus
5,Cerebellum,Cerebellum Cortex,47,G temporal inf,Inferior temporal gyrus
6,Hippocampus,Hippocampus,48,G temporal middle,Middle temporal gyrus
7,Pallidum,Pallidum,49,Lat Fis ant Horizont,Horizontal ramus of the anterior segment of the lateral sulcus
8,Putamen,Putamen,50,Lat Fis ant Vertical,Vertical ramus of the anterior segment of the lateral sulcus
9,Substancia Nigra,Substancia Nigra,51,Lat Fis post,Posterior ramus of the lateral sulcus
10,VentralDC,Ventral Diencephalon,52,Pole occipital,Occipital pole
11,G and S frontomargin,Fronto-marginal gyrus of Wernicke and sulcus,53,Pole temporal,Temporal pole
12,G and S occipital inf,Inferior occipital gyrus and sulcus,54,S calcarine,Calcarine sulcus
13,G and S paracentral,Paracentral lobule and sulcus,55,S central,Central sulcus
14,G and S subcentral,Subcentral gyrus (central operculum) and sulci,56,S cingul Marginalis,Marginal branch of the cingulate sulcus
15,G and S transv frontopol,Transverse frontopolar gyri and sulci,57,S circular insula ant,Anterior segment of the circular sulcus of the insula
16,G and S cingul Ant,Anterior part of the cingulate gyrus and sulcus (ACC),58,S circular insula inf,Inferior segment of the circular sulcus of the insula
17,G and S cingul Mid Ant,Middle-anterior part of the cingulate gyrus and sulcus (aMCC),59,S circular insula sup,Superior segment of the circular sulcus of the insula
18,G and S cingul Mid Post,Middle-posterior part of the cingulate gyrus and sulcus (pMCC),60,S collat transv ant,Anterior transverse collateral sulcus
19,G cingul Post dorsal,Posterior-dorsal part of the cingulate gyrus (dPCC),61,S collat transv post,Posterior transverse collateral sulcus
20,G cingul Post ventral,"Posterior-ventral part of the cingulate gyrus (vPCC, isthmus of the cingulate gyrus)",62,S front inf,Inferior frontal sulcus
21,G cuneus,Cuneus,63,S front middle,Middle frontal sulcus
22,G front inf Opercular,Opercular part of the inferior frontal gyrus,64,S front sup,Superior frontal sulcus
23,G front inf Orbital,Orbital part of the inferior frontal gyrus,65,S interm prim Jensen,Sulcus intermedius primus of Jensen
24,G front inf Triangul,Triangular part of the inferior frontal gyrus,66,S intrapariet and P trans,Intraparietal sulcus and transverse parietal sulci
25,G front middle,Middle frontal gyrus,67,S oc middle and Lunatus,Middle occipital sulcus and lunatus sulcus
26,G front sup,Superior frontal gyrus,68,S oc sup and transversal,Superior occipital sulcus and transverse occipital sulcus
27,G Ins lg and S cent ins,Long insular gyrus and central sulcus of the insula,69,S occipital ant,Anterior occipital sulcus and preoccipital notch (temporo-occipital incisure)
28,G insular short,Short insular gyri,70,S oc temp lat,Lateral occipito-temporal sulcus
29,G occipital middle,Middle occipital gyrus (lateral occipital gyrus),71,S oc temp med and Lingual,Medial occipito-temporal sulcus (collateral sulcus) and lingual sulcus
30,G occipital sup,Superior occipital gyrus,72,S orbital lateral,Lateral orbital sulcus
31,G oc temp lat fusifor,Lateral occipito-temporal gyrus (fusiform gyrus),73,S orbital med olfact,Medial orbital sulcus (olfactory sulcus)
32,G oc temp med Lingual,"Lingual gyrus, ligual part of the medial occipito-temporal gyrus",74,S orbital H Shaped,Orbital sulci (H-shaped sulci)
33,G oc temp med Parahip,"Parahippocampal gyrus, parahippocampal part of the medial occipito-temporal gyrus",75,S parieto occipital,Parieto-occipital sulcus
34,G orbital,Orbital gyri,76,S pericallosal,Pericallosal sulcus
35,G pariet inf Angular,Angular gyrus,77,S postcentral,Postcentral sulcus
36,G pariet inf Supramar,Supramarginal gyrus,78,S precentral inf part,Inferior part of the precentral sulcus
37,G parietal sup,Superior parietal lobule,79,S precentral sup part,Superior part of the precentral sulcus
38,G postcentral,Postcentral gyrus,80,S suborbital,"Suborbital sulcus (sulcus rostrales, supraorbital sulcus)"
39,G precentral,Precentral gyrus,81,S subparietal,Subparietal sulcus
40,G precuneus,Precuneus,82,S temporal inf,Inferior temporal sulcus
41,G rectus,"Straight gyrus, Gyrus rectus",83,S temporal sup,Superior temporal sulcus (parallel sulcus)
42,G subcallosal,"Subcallosal area, subcallosal gyrus",84,S temporal transverse,Transverse temporal sulcus
