Baseline,Control subjectsaN = 60,FEP patientsaN = 76,Group Differenceb
Male,38 (63.3),51 (67.10),p = 0.686
Age,"23.97 (19.10–43.87, 6.83)","23.98 (18.26–39.06, 6.55)",p = 0.420
Years of education,"15.00 (11.00–22.00, 3.50)","12.50 (9.00–22.00, 3.88)",p = 0.004
BPRS 10,"1 (1–1, 0.00)","2 (1–6, 4.00) (N = 75)",p < 0.001
BPRS 11,"1 (1–2, 0.00)","4 (1–7, 5.00) (N = 75)",p < 0.001
BPRS 12,"1 (1–1, 0.00)","1 (1–6, 1.00) (N = 75)",p < 0.001
BPRS 15,"1 (1–2, 0.00)","1 (1–5, 0.00) (N = 75)",p = 0.003
BPRS 16,"1 (1–3, 0.00)","1 (1–5, 2.00) (N = 75)",p < 0.001
SANS 1,"0.00 (0.00–1.00, 0.00)","0.00 (0.00–3.00, 1.00) (N = 75)",p < 0.001
SANS 2,"0.00 (0.00–1.00, 0.00)","2.00 (0.00–5.00, 3.00) (N = 75)",p < 0.001
SANS 3,"0.00 (0.00–2.00, 0.00)","3.00 (0.00–5.00, 2.00) (N = 75)",p < 0.001
Antipsychotic dose,"0.00 (0.00–0.00, 0.00)","300.00 (0.00–1320.00, 300.00)",p < 0.001
GAF,"85.00 (55–95, 14.25)","37.50 (15–75, 8.00)",p < 0.001
DSM-IV diagnosis,296.25/296.26/296.32/296.36 Major depressive disorder (n = 10),"292.12 Drug induced psychotic episode, cannabis (N = 1)",
DSM-IV diagnosis,300.21 Panic disorder with agoraphobia (n = 1),295.3 Paranoid schizophrenia (n = 12),
DSM-IV diagnosis,300.23 Social phobia (n = 1),295.4 Schizophreniform disorder (n = 18),
DSM-IV diagnosis,300.3 Obsessive-compulsive disorder (n = 1),295.7 Schizoaffective disorder (n = 1),
DSM-IV diagnosis,305 Alcohol abuse (n = 1),295.9 Schizophrenia undefined (n = 15),
DSM-IV diagnosis,307.1 Anorexia Nervosa (n = 1),296.04/296.44 Bipolar type 1 disorder (n = 7),
DSM-IV diagnosis,311 Depressive disorder NOS (n = 1),296.24/296.34 Major depressive affective disorder with psychotic features (n = 4),
DSM-IV diagnosis,311 Depressive disorder NOS (n = 1),298.8 Brief psychotic disorder with psychotic features (n = 2),
DSM-IV diagnosis,311 Depressive disorder NOS (n = 1),298.9 Unspecified psychosis (n = 15),
DSM-IV diagnosis,311 Depressive disorder NOS (n = 1),300 OCD (n = 1),
