Unnamed: 0_level_0,SG0W,SG8W,HC,Unnamed: 4_level_0,Unnamed: 5_level_0
Unnamed: 0_level_1,(n = 15),(n = 15),(n = 21),Unnamed: 4_level_1,Unnamed: 5_level_1
Variable,Mean ± SD,Mean ± SD,Mean ± SD,t/χ2,p
Age (years),64.13 ± 6.01,,60.67 ± 6.95,–,0.181a
Gender (male/female),8/7,,9/12,0.385,0.535b
Education (years),9.40 ± 3.38,,10.29 ± 2.61,–,0.241a
Duration (days),62.87 ± 15.73,,,,
Stroke type,,,,,
Ischemia,9(60.0),,,,
Hemorrhage,6 (40.0),,,,
Lesion volume (cm3),1.65 ± 1.46,,,,
Location of lesion,,,,,
Basal ganglia,9(60.0),,,,
Frontal lobe,3(20.0),,,,
Thalamus,3(20.0),,,,
