No.,Feature type,Corresponding brain regions/AAL number,Network,Corresponding brain regions/AAL number.1,Network.1,Comparison
1,FC,Supraorbital frontal gyrus.L/5‐,Visual network,Middle occipital gyrus.R/52,Dorsal attention network,IPD < MSA‐P
2,FC,Frontal_Sup_Medial_L/23,DMN,Inferior temporal gyrus.R/90,DMN,MSA‐P < IPD
3,FC,Precuneus.R/68,DMN,Vermis_8/114,CEN,MSA‐P < IPD
4,FC,Anterior cingulate gyrus.R/32,Salience network,Vermis_7/113,CEN,MSA‐P < IPD
5,FC,Frontal_Sup_Medial_L/23,DMN,Cerebelum_Crus1_L/91,CEN,MSA‐P < IPD
6,Ne,Middle temporal gyrus.L/85,DMN,,,MSA‐P < IPD
7,FC,Orbital frontal middle gyrus.L/9,DMN,Superior parietal gyrus.L/59,Dorsal attention network,IPD < MSA‐P
8,FC,Putamen.L/73,BGN,Middle temporal gyrus.L/85,DMN,IPD < MSA‐P
9,FC,Caudate nucleus.R/72,BGN,Temporal pole: superior temporal gyrus.R/84,DMN,IPD < MSA‐P
10,FC,Vermis_4_5/111,CEN,Vermis_7/113,CEN,MSA‐P < IPD
11,FC,Fusiform gyrus.R/56,Visual network,Thalamus.L/77,BGN,IPD < MSA‐P
12,FC,Fusiform gyrus.R/56,Visual network,Putamen.L/73,BGN,IPD < MSA‐P
13,FC,Precuneus.R/68,DMN,Vermis_7/113,CEN,MSA‐P < IPD
14,FC,Lingual gyrus.R/48,Visual network,Pallidum.R/76,BGN,IPD < MSA‐P
15,FC,Supraorbital frontal gyrus.L/5,Visual network,Superior parietal gyrus.L/59,Dorsal attention network,IPD < MSA‐P
