Characteristic/test,MSA‐P (n = 76),PD (n = 53),HC (n = 88),F/T/x2,p value
Age (years),62.6 ± 7.0,60.2 ± 7.2,61.1 ± 6.7,1.98,0.140
Gender (male/female),34/42,28/25,37/51,1.56,0.452
Education,10.1 ± 3.6,10.3 ± 3.1,11.0 ± 3.1,1.56,0.213
Disease duration (years),1.9 ± 0.8,2.0 ± 0.8,,0.74,0.461
MMSE,25.6 ± 3.7,26.7 ± 4.8,28.8 ± 1.5,17.88,<0.001???
MoCA,20.9 ± 4.6,24.2 ± 3.5,26.3 ± 2.1,47.78,<0.001???
H‐Y stage,2.1 ± 0.7,1.8 ± 0.5,,2.79,0.006
MDS‐UPDRS‐III,32.9 ± 14.7,23.0 ± 13.4,,3.65,<0.001???
LEDD (mg/day),394.5 ± 215.7,389.5 ± 203.0,,0.09,0.929
Cerebellar signs (−/+),59/17,53/0,88/0,34.22,<0.001???
