Brain Area,MNI Coordinates,MNI Coordinates,MNI Coordinates,Cluster Size,Maximum t-Value
Brain Area,x,y,z,Cluster Size,Maximum t-Value
Seed: Globus pallidus,−21,2,0,,
Patients with alcohol dependence,,,,,
Right putamen (Rt. Pu),28,2,2,5491.0,11.34
Right cerebellum (Rt. Cb),30,−60,−28,377.0,5.79
Left cerebellum (Lt. Cb),−30,−62,−30,151.0,5.42
Healthy controls,,,,,
Right middle frontal gyrus (Rt. MFG),26,32,38,506.0,5.11
Left middle frontal gyrus (Lt. MFG),−32,54,20,701.0,6.72
Right inferior frontal gyrus (Rt. IFG),56,18,18,171.0,4.56
Right precentral gyrus (Rt. PreCG),40,0,46,200.0,4.79
Left supplementary motor area (Lt. SMA),−4,14,54,3417.0,6.4
Left supramarginal gyrus (Lt. SMG),−52,−42,36,683.0,5.45
Right middle cingulate gyrus (Rt. MCG),2,−36,46,274.0,7.36
Left middle cingulate gyrus (Lt. MCG),−10,−24,40,146.0,7.23
Right superior temporal gyrus (Rt. STG),62,−50,24,1360.0,5.82
