Unnamed: 0_level_0,Unnamed: 1_level_0,MNI coordinates,MNI coordinates,MNI coordinates,Unnamed: 5_level_0,Unnamed: 6_level_0
Regions,BA,x,y,z,Cluster size,Z-score
Controls,Controls,Controls,Controls,Controls,Controls,Controls
Hippocampus,−,−16,−8,−16,77,3.54
Hippocampus,−,−28,−14,−14,−,3.45
Amygdala,−,−20,0,−22,−,1.82
Amygdala,−,30,2,−16,19,3.3
Nucleus accumbens,−,12,8,−10,10,3.01
Anterior cingulate cortex,32,6,40,6,48,2.99
Anterior cingulate cortex,32,4,50,8,−,1.88
Anterior cingulate cortex,32,−4,48,8,−,1.88
Hippocampus,−,−24,−32,−10,32,2.99
Anterior cingulate cortex,32,−4,42,−10,68,2.94
Anterior cingulate cortex,32,−4,34,−4,−,2.63
Anterior cingulate cortex,32,−6,52,−4,−,1.98
Ventral tegmental area,−,−4,−18,−10,13,2.89
Anterior cingulate cortex,32,0,20,−8,30,2.79
Insula,13,−26,16,−12,19,2.46
Nucleus accumbens,−,−8,8,−12,15,2.4
Insula,13,40,18,−14,15,2.38
Insula,13,36,16,−6,−,1.92
Controls > Grief,Controls > Grief,Controls > Grief,Controls > Grief,Controls > Grief,Controls > Grief,Controls > Grief
Hippocampus,,−24,−34,−10,20,3.62
Amygdala,,30,2,−16,11,3.48
Anterior cingulate cortex,,6,40,6,14,3.32
Hippocampus,,−24,−10,−10,15,3.24
Anterior cingulate cortex,,−4,46,−10,26,3.17
Insula,,−30,12,−10,17,2.9
Anterior cingulate cortex,,0,22,−10,23,2.61
Grief,Grief,Grief,Grief,Grief,Grief,Grief
Amygdala,−,−18,−6,−14,85,3.89
Amygdala,−,20,2,−16,65,3.1
Hippocampus,−,16,−10,−12,−,2.51
Ventral tegmental area,−,−4,−14,−12,26,2.93
Anterior cingulate cortex,32,−6,50,10,21,2.6
Anterior cingulate cortex,32,6,50,6,11,2.39
Grief > Controls,Grief > Controls,Grief > Controls,Grief > Controls,Grief > Controls,Grief > Controls,Grief > Controls
Amygdala,−,20,2,−16,17,2.53
Ventral tegmental area,−,−4,−14,−12,10,2.48
Amygdala,−,−20,−4,−16,16,2.34
