Unnamed: 0,Study 1,Study 2,Study 3
General,General,General,General
Scanner,Philips Achieva X 3 T,Siemens Magnetom Skyra 3 T,GE Discovery MR750w 3 T
Head coil,32-channel,32-channel,20-channel
Anatomical scan,Anatomical scan,Anatomical scan,Anatomical scan
Weighting,T1,T1,T1
Sequence,MPRAGE,MPRAGE,3D IR-FSPGR
TR,8500 ms,2300 ms,5.3 ms
TE,3.9 ms,2.07 ms,2.1 ms
Resolution,1 × 1 × 1 mm3,1 × 1 × 1 mm3,1 × 1 × 1 mm3
FOV,256 × 256 × 220 mm3,256 × 256 × 192 mm3,256 × 256 × 172
Resting state fMRI,Resting state fMRI,Resting state fMRI,Resting state fMRI
Weighting,T2*,T2*,T2*
Sequence,GE EPI,GE EPI,GE EPI
TR,2500 ms,2520 ms,2500 ms
TE,35 ms,35 ms,27 ms
Flip angle,90,90,81
Phase ENC. DIR,COL,A>>P,A>>P
FOV,240 × 240 × 132,230 × 230 × 132,96 × 96 × 44
Num. of slices,40,38,44
Slice thickness,3 mm,3 mm,3 mm
GAP,0.3 mm,0.48 mm,0 mm
Slice order,Interleaved,Interleaved,Interleaved
In-plane res.,3 × 3mm2,2.45 × 2.45mm2,3 × 3mm2
Acceleration,SENSE 3×,GRAPPA 2×,ASSET 2×
Fat suppress,SPIR,Fat.sat.,Fat. Sat
Num. of vols,200,290,240
Dummy Scans,5,5,0
Scanning time,8 min 37 sec,12 min 11 sec,10 min
