Seed,Condition,Region,Cluster size,MNI coordinates,MNI coordinates,MNI coordinates,Peak z value
Seed,Condition,Region,Cluster size,X,Y,Z,Peak z value
MH,FM (pre) > HC,Bilateral subcallosal cingulate gyrus,125.0,− 12,14,− 16,3.85
,HC > FM (pre),Bilateral cerebellum,155.0,0,− 80,− 28,3.82
,,Left amygdala,70.0,− 30,− 8,− 16,4.72
,,Right amygdala,23.0,32,− 8,− 20,3.12
,,Right thalamus,32.0,10,− 14,0,3.54
,FM (post) > FM (pre),Right DLPFC/operculum,105.0,56,20,2,4.16
,FM (post) > FM (pre),Right occipital gyrus,180.0,22,− 78,− 6,4.23
,FM (post) > FM (pre),Left cerebellum,101.0,− 12,− 70,− 20,3.96
,FM (post) > FM (pre),Left amygdala,24.0,− 18,− 12,− 12,3.64
,FM (post) > FM (pre),Right thalamus,59.0,8,− 18,2,4.19
,FM (post) > FM (pre),Left rACC,23.0,− 12,44,22,3.8
,FM (pre) > FM (post),,,,,,
LH,FM (pre) > HC,Right temporal pole,152.0,38,6,− 42,3.54
,HC > FM (pre),Right inferior occipital gyrus/cerebellum,213.0,40,− 66,− 8,3.93
,FM (post) > FM (pre),Bilateral rACC,229.0,10,36,6,4.42
,,Bilateral MPFC,180.0,8,46,− 2,4.1
,,Right middle temporal gyrus/superior temporal gyrus,185.0,60,0,− 16,4.34
,,Left PCC,106.0,− 12,− 36,34,4.09
,FM (pre) > FM (post),,,,,,
