Node number,MNIx,MNIy,MNIz,Node name
1,−25,−98,−12,Left occipital interior
2,27,−97,−13,Right occipital inferior
4,−56,−45,−24,Left temporal inferior
5,8,41,−24,Right rectus
8,−37,−29,−26,Left fusiform
10,52,−34,−27,Right temporal inferior
27,−38,−27,69,Precentral left
37,−38,−15,69,Left somatosensory
75,6,67,−4,Right medial orbitofrontal
78,−18,63,−9,Left superior orbitofrontal
83,−68,−23,−16,Left middle temporal
114,−20,64,19,Left superior frontal
140,8,−91,−7,Right lingual
141,17,−91,−14,Right lingual
142,−12,−95,−13,Left lingual
182,−21,41,−20,Left middle orbitofrontal
247,33,−12,−34,Right temporal inferior
250,−50,−7,−39,Left temporal inferior
