Unnamed: 0,FixFD,yHC,p FixFD versus yHC,MobFD,oHC,p MobFD versus oHC,p FixFD versus MobFD
N,12,14,,28,29,,
Age [years],35.9 ± 15.8,39.8 ± 11.6,0.47,48.9 ± 10.9,52.0 ± 10.7,0.27,0.005
Women/men (% women),8/4 (67%),10/4 (71%),1.00,23/5 (82%),24/5 (83%),1.00,0.28
Education [years],11.1 ± 1.5,14.5 ± 1.9,<0.001,11.3 ± 1.9,13.7 ± 3.0,0.003,0.78
Clinical features,,,,,,,
Age at onset [years],32.3 ± 15.3,,,44.3 ± 9.4,,,0.004
Disease duration [years],3.4 ± 3.0,,,4.7 ± 4.6,,,0.37
Trigger for dystonia [%],67,,,61,,,0.72
Pain in dystonic region [%],100,,,54,,,0.004
CPRS [%],58,,,0,,,<0.001
Sensory trick [%],0,,,4,,,0.51
Botulin toxin [%],58,,,64,,,0.56
Benefit from botulin toxin [%],10.0 ± 14.1,,,49.5 ± 24.8,,,0.001
"Specific treatment (dopaminomimetics, anticholinergics, baclofen) [%]",75,,,11,,,<0.001
"Psychoactive treatment (benzodiazepines, antidepressants) [%]",75,,,93,,,0.15
UDRS,14.0 ± 7.9,,,8.2 ± 5.2,,,0.01
"BFMS, total",19.9 ± 8.5,,,6.7 ± 4.5,,,<0.001
"BFMS, disability",6.4 ± 5.1,,,1.6 ± 1.7,,,<0.001
"PMD, total",20.5 ± 5.1,,,19.1 ± 7.2,,,0.55
"PMD, total phenomenology",12.1 ± 3.7,,,11.9 ± 5.6,,,0.90
"PMD, total functional",8.4 ± 3.2,,,7.0 ± 3.6,,,0.26
Global cognition,,,,,,,
MMSE,28.7 ± 1.8,30.0 ± 0.0,0.02,28.0 ± 1.6,29.9 ± 0.3,<0.001,0.23
Psychiatric features,,,,,,,
HAMD,13.1 ± 10.8,,,17.7 ± 10.2,,,0.29
HAMA,9.3 ± 9.0,,,13.5 ± 10.1,,,0.24
Apathy scale,13.5 ± 11.0,,,19.3 ± 11.2,,,0.16
DES‐II,5.2 ± 7.7,,,4.2 ± 6.7,,,0.69
SDQ‐20,31.7 ± 10.3,,,27.8 ± 9.8,,,0.28
