Unnamed: 0,Nicotine satiety state,Nicotine withdrawal state,Paired t-test
Exhaled carbon monoxide (CO PPM),4.767 ± 0.52,4.86 ± 0.37,"t = 0.148, P = 0.8"
Nicotine (µg/mL),11.29 ± 0.91,0.3 ± 0.05,"t = 11.96, P < 0.0001"
Cotinine (µg/mL),97.51 ± 5.84,30.92 ± 3.72,"t = 10.41, P < 0.0001"
Total adenosine (µM/mL),114.0 ± 43.5,19.4 ± 3.8,"t = 2.18, P = 0.03"
"Adenosine Mono-Phosphate (AMP, µM/mL)",146.5 ± 25.3,13.6 ± 2.1,"t = 5.366, P < 0.0001"
"Adenosine Tri-Phosphate (ATP, µM/mL)",13.3 ± 4.5,8.2 ± 1.5,"t = 1.038, P = 0.3"
Wisconsin Smoking Withdrawal Scale (WSWS),Wisconsin Smoking Withdrawal Scale (WSWS),Wisconsin Smoking Withdrawal Scale (WSWS),Wisconsin Smoking Withdrawal Scale (WSWS)
Total score,43.5 ± 2.6,50.8 ± 3.1,"t = 3.005, P = 0.005"
Anger,3.2 ± 0.5,4.3 ± 0.7,"t = 1.967, P = 0.059"
Anxiety,5.1 ± 0.5,6.2 ± 0.6,"t = 2.703, P = 0.011"
Concentration,3.7 ± 0.4,4.5 ± 0.4,"t = 2.693, P = 0.011"
Craving,10.2 ± 0.8,10.9 ± 0.8,"t = 0.8616, P = 0.3"
Hunger,9.5 ± 0.7,10.6 ± 0.6,"t = 1.588, P = 0.1"
Sadness,3.7 ± 0.3,5.2 ± 0.5,"t = 3.453, P = 0.001"
Sleep,7.9 ± 0.7,8.9 ± 0.8,"t = 1.742, P = 0.09"
Tobacco Craving Questionnaire (TCQ),Tobacco Craving Questionnaire (TCQ),Tobacco Craving Questionnaire (TCQ),Tobacco Craving Questionnaire (TCQ)
TCQ Total score,46.7 ± 2.9,51.9 ± 3.6,"t = 2.661, P = 0.013"
TCQ Factor 1 (Emotionality),8.5 ± 0.9,11.4 ± 1.1,"t = 4.667, P < 0.0001"
TCQ Factor 2 (Expectancy),16.0 ± 0.9,16.07 ± 0.9,"t = 0.1153, P = 0.9"
TCQ Factor 3 (Compulsivity),8.8 ± 1.0,10.1 ± 1.1,"t = 2.282, P = 0.03"
TCQ Factor 4 (Purposefulness),13.4 ± 0.7,14.3 ± 0.8,"t = 1.47, P = 0.1"
Positive and Negative Affective State (PANAS),Positive and Negative Affective State (PANAS),Positive and Negative Affective State (PANAS),Positive and Negative Affective State (PANAS)
PANAS Positive Subscale,34.8 ± 1.4,31.2 ± 1.3,"t = 3.062, P = 0.004"
PANAS Negative subscale,11.7 ± 0.4,13.3 ± 1.0,"t = 1.995, P = 0.055"
Other scales,,,
State Trait Anxiety Inventory-State (STAI-S),18.2 ± 0.9,22.1 ± 1.3,"t = 3.777, P = 0.001"
Tobacco Craving Scale (TCS),32.5 ± 2.4,36.7 ± 2.6,"t = 2.151, P = 0.040"
Perceived Stress Scale (PSS),13.7 ± 1.3,14 ± 1.3,"t = 0.6272, P = 0.5"
Snaith Hamilton Anhedonia scale (SHAPS),1.16 ± 0.2,1.89 ± 0.4,"t = 1.603, P = 0.1"
