Variables (mean ± SD),MT (n = 31),ET (n = 31),Significance
Sex (M/F)???,11/20,12/19,X2(1) = 0.069; p = 0.793
Age (years)???,24.45 ± 3.83,23.48 ± 2.55,U(62) = 446; p = 0.623
Declared wake-up time (hh:mm)???,07:07 ± 62 min,07:25 ± 48 min,t(60) = −1.9; p = 0.062
Declared bedtime (hh:mm)???,23:24 ± 55 min,00:06 ± 49 min,t(60) = −3.5; p = 0.001
Declared amount of perfect sleep (hh:mm)???,08:50 ± 42 min,08:38 ± 54 min,t(60) = 1.54; p = 0.128
ME???,15.71 ± 2.41,28.45 ± 3.83,U(62) < 0.001; p = 0.623
AM???,21.47 ± 3.58,22.26 ± 3.51,U(62) = 426; p = 0.437
ESS???,5.52 ± 2.48,5.87 ± 3.01,U(62) = 441; p = 0.576
EHI???,86.83 ± 12.92,89.19 ± 13.93,U(62) = 414; p = 0.330
VNTR of PER3,5/5,4/4,–
