Unnamed: 0,Label name,Component name,MNI coordinates,RGB code
"Visual Network (VN), Left Hemisphere","Visual Network (VN), Left Hemisphere","Visual Network (VN), Left Hemisphere",,
1,LH_Vis_1,Visual,"−24,−53,−9","123,104,238"
2,LH_Vis_2,Visual,"−26,−77,−14","147,112,219"
3,LH_Vis_3,Visual,"−45,−69,−8","138,43,226"
4,LH_Vis_4,Visual,"−10,−67,−4","201,160,220"
5,LH_Vis_5,Visual,"−27,−95,−12","204,204,255"
6,LH_Vis_6,Visual,"−14,−44,−3","75,0,130"
7,LH_Vis_7,Visual,"−5,−93,−4","181,126,220"
8,LH_Vis_8,Visual,"−47,−70,10","147,112,219"
9,LH_Vis_9,Visual,"−23,−97,6","167,107,207"
10,LH_Vis_10,Visual,"−11,−70,7","116,108,192"
11,LH_Vis_11,Visual,"−40,−85,11","138,43,226"
12,LH_Vis_12,Visual,"−12,−73,22","111,0,255"
13,LH_Vis_13,Visual,"−7,−87,28","120,81,169"
14,LH_Vis_14,Visual,"−23,−87,23","115,79,150"
"Somatomotor Network (SMN), Left Hemisphere","Somatomotor Network (SMN), Left Hemisphere","Somatomotor Network (SMN), Left Hemisphere",,
15,LH_SomMot_1,Somatomotor,"−51,−4,−2","135,206,235"
16,LH_SomMot_2,Somatomotor,"−53,−24,9","30,144,255"
17,LH_SomMot_3,Somatomotor,"−37,−21,16","0,191,255"
18,LH_SomMot_4,Somatomotor,"−55,−4,10","0,0,205"
19,LH_SomMot_5,Somatomotor,"−53,−22,18","172,229,238"
20,LH_SomMot_6,Somatomotor,"−56,−8,31","135,206,250"
21,LH_SomMot_7,Somatomotor,"−47,−9,46","119,181,254"
22,LH_SomMot_8,Somatomotor,"−7,−12,46","79,134,247"
23,LH_SomMot_9,Somatomotor,"−49,−28,57","119,158,203"
24,LH_SomMot_10,Somatomotor,"−40,−25,57","65,102,245"
25,LH_SomMot_11,Somatomotor,"−31,−46,63","69,177,232"
26,LH_SomMot_12,Somatomotor,"−32,−22,64","49,140,231"
27,LH_SomMot_13,Somatomotor,"−26,−38,68","73,151,208"
28,LH_SomMot_14,Somatomotor,"−20,−11,68","15,192,252"
29,LH_SomMot_15,Somatomotor,"−5,−29,67","65,125,193"
30,LH_SomMot_16,Somatomotor,"−19,−31,68","0,127,255"
"Dorsal Attention Network (DAN), Left Hemisphere","Dorsal Attention Network (DAN), Left Hemisphere",,,
31,LH_DorsAttn_Post_1,Posterior,"−43,−48,−19","0,255,127"
32,LH_DorsAttn_Post_2,Posterior,"−57,−60,−1","50,205,50"
33,LH_DorsAttn_Post_3,Posterior,"−26,−70,38","173,255,47"
34,LH_DorsAttn_Post_4,Posterior,"−54,−27,42","144,238,144"
35,LH_DorsAttn_Post_5,Posterior,"−41,−35,47","60,179,113"
36,LH_DorsAttn_Post_6,Posterior,"−33,−49,47","34,139,34"
37,LH_DorsAttn_Post_7,Posterior,"−17,−73,54","152,255,152"
38,LH_DorsAttn_Post_8,Posterior,"−29,−60,59","144,238,144"
39,LH_DorsAttn_Post_9,Posterior,"−6,−60,57","119,221,119"
40,LH_DorsAttn_Post_10,Posterior,"−17,−53,68","116,195,101"
41,LH_DorsAttn_FEF_1,Frontal Eye Fields,"−31,−4,53","80,200,120"
42,LH_DorsAttn_FEF_2,Frontal Eye Fields,"−22,6,62","57,255,20"
43,LH_DorsAttn_PrCv_1,Precentral Ventral,"−48,6,29","34,139,34"
"Ventral Attention Network (DAN), Left Hemisphere","Ventral Attention Network (DAN), Left Hemisphere",,,
44,LH_SalVentAttn_ParOper_1,Parietal Operculum,"−56,−40,20","249,132,229"
45,LH_SalVentAttn_ParOper_2,Parietal Operculum,"−61,−26,28","254,78,218"
46,LH_SalVentAttn_ParOper_3,Parietal Operculum,"−60,−39,36","207,113,175"
47,LH_SalVentAttn_FrOperIns_1,Frontal Operculum Insula,"−39,−4,−4","189,51,164"
48,LH_SalVentAttn_FrOperIns_2,Frontal Operculum Insula,"−33,20,5","204,0,204"
49,LH_SalVentAttn_FrOperIns_3,Frontal Operculum Insula,"−39,1,11","218,112,214"
50,LH_SalVentAttn_FrOperIns_4,Frontal Operculum Insula,"−51,9,11","241,167,254"
51,LH_SalVentAttn_PFCl_1,Lateral Prefrontal Cortex,"−28,43,31","238,130,238"
52,LH_SalVentAttn_Med_1,Medial,"−6,9,41","255,111,255"
53,LH_SalVentAttn_Med_2,Medial,"−11,−35,46","207,52,118"
54,LH_SalVentAttn_Med_3,Medial,"−6,−3,65","223,0,255"
"Limbic Network (LN), Left Hemisphere","Limbic Network (LN), Left Hemisphere",,,
55,LH_Limbic_OFC_1,Orbital Frontal Cortex,"−24,22,−20","255,248,220"
56,LH_Limbic_OFC_2,Orbital Frontal Cortex,"−10,35,−21","240,230,140"
57,LH_Limbic_TempPole_1,Temporal Pole,"−29,−6,−39","252,247,94"
58,LH_Limbic_TempPole_2,Temporal Pole,"−45,−20,−30","255,250,205"
59,LH_Limbic_TempPole_3,Temporal Pole,"−28,10,−34","251,236,93"
60,LH_Limbic_TempPole_4,Temporal Pole,"−43,8,−19","255,247,0"
"Frontoparietal Network (FPN), Left Hemisphere","Frontoparietal Network (FPN), Left Hemisphere",,,
61,LH_Cont_Par_1,Parietal,"−53,−51,46","255,165,0"
62,LH_Cont_Par_2,Parietal,"−35,−62,48","255,140,0"
63,LH_Cont_Par_3,Parietal,"−45,−42,46","255,160,137"
64,LH_Cont_Temp_1,Temporal,"−61,−43,−13","255,200,124"
65,LH_Cont_OFC_1,Orbital Frontal Cortex,"−32,42,−13","255,153,102"
66,LH_Cont_PFCl_1,Lateral Prefrontal Cortex,"−42,49,−6","255,163,67"
67,LH_Cont_PFCl_2,Lateral Prefrontal Cortex,"−28,58,8","255,130,67"
68,LH_Cont_PFCl_3,Lateral Prefrontal Cortex,"−42,40,16","255,174,66"
69,LH_Cont_PFCl_4,Lateral Prefrontal Cortex,"−44,20,27","237,135,45"
70,LH_Cont_PFCl_5,Lateral Prefrontal Cortex,"−43,6,43","224,141,60"
71,LH_Cont_pCun_1,Precuneus,"−9,−73,38","255,153,51"
72,LH_Cont_Cing_1,Cingulate,"−5,−29,28","237,145,33"
73,LH_Cont_Cing_2,Cingulate,"−3,4,30","251,153,2"
"Default Mode Network (DMN), Left Hemisphere","Default Mode Network (DMN), Left Hemisphere",,,
74,LH_Default_Temp_1,Temporal,"−47,8,−33","240,128,128"
75,LH_Default_Temp_2,Temporal,"−60,−19,−22","255,69,0"
76,LH_Default_Temp_3,Temporal,"−56,−6,−12","165,42,42"
77,LH_Default_Temp_4,Temporal,"−58,−30,−4","255,0,0"
78,LH_Default_Temp_5,Temporal,"−58,−43,7","123,17,19"
79,LH_Default_Par_1,Parietal,"−48,−57,18","204,51,51"
80,LH_Default_Par_2,Parietal,"−39,−80,31","205,92,92"
81,LH_Default_Par_3,Parietal,"−57,−54,28","253,94,83"
82,LH_Default_Par_4,Parietal,"−46,−66,38","127,23,52"
83,LH_Default_PFC_1,Prefrontal Cortex,"−35,20,−13","255,53,94"
84,LH_Default_PFC_2,Prefrontal Cortex,"−6,36,−10","235,76,66"
85,LH_Default_PFC_3,Prefrontal Cortex,"−46,31,−7","204,78,92"
86,LH_Default_PFC_4,Prefrontal Cortex,"−12,63,−6","178,34,34"
87,LH_Default_PFC_5,Prefrontal Cortex,"−52,22,8","203,65,84"
