ROI,Schaefer node label,Cortical areas,MNI coordinates,MNI coordinates,MNI coordinates,Adjusted p-value,Adjusted p-value,Adjusted p-value,Adjusted p-value
ROI,Schaefer node label,Cortical areas,x,y,z,Degree Centrality,Betweenness Centrality,Clustering Coefficient,Nodal Efficiency
15,LH_SomMot_1,LH_Superior temporal gyrus,−51,−4,−2,* (t),,,* (t)
30,LH_SomMot_16,LH_Postcentral gyrus,−19,−31,68,* (t),,,* (t)
42,LH_DorsAttn_FEF_2,LH_Superior frontal gyrus (posterior segment),−22,6,62,,,* (c),* (c)
46,LH_SalVentAttn_ParOper_3,LH_Supramarginal gyrus,−60,−39,36,* (t),,,
48,LH_SalVentAttn_FrOperIns_2,LH_Insular,−33,20,5,* (c),,,* (c)
51,LH_SalVentAttn_PFCl_1,LH_Middle frontal gyrus (dorsal prefrontal cortex),−28,43,31,* (t),,,* (t)
63,LH_Cont_Par_3,LH_Angular gyrus,−45,−42,46,,,,* (t)
79,LH_Default_Par_1,LH_Posterior middle temporal gyrus,−48,−57,18,,* (c),,
90,LH_Default_PFC_8,LH_Dorsal anterior cingulate gyrus,−6,30,25,* (c),* (c),,* (c)
94,LH_Default_PFC_12,LH_Superior frontal gyrus (posterior segment),−24,25,49,,,* (t),
99,LH_Default_pCunPCC_4,LH_Precuneous,−6,−54,42,,* (t),,
117,RH_SomMot_2,RH_Superior temporal gyrus,64,−23,8,* (t),,* (t),
126,RH_SomMot_11,RH_Precentral gyrus,7,−11,51,,* (c),,
138,RH_DorsAttn_Post_4,RH_Angular gyrus,46,−38,49,,* (t),* (t),
145,RH_DorsAttn_FEF_1,RH_Precentral gyrus,34,−4,52,,* (c),,
150,RH_SalVentAttn_TempOccPar_3,RH_Supramarginal gyrus,60,−26,27,,* (t),,
180,RH_Cont_PFCmp_1,RH_Dorsal anterior cingulate gyrus,7,31,28,* (c),* (c),,* (c)
187,RH_Default_Temp_3,RH_Superior temporal gyrus,55,−6,−10,,,* (t),
200,RH_Default_pCunPCC_3,RH_Precuneous,6,−58,44,,* (t),,
