Gender (male:female) (count),Controls,Controls,Controls,OCD,OCD,OCD,χ2,df,p,Effect size
Gender (male:female) (count),10:12,10:12,10:12,10:10,10:10,10:10,0.09,1,.77,Effect size
Gender (male:female) (count),Controls (n = 22),Controls (n = 22),Controls (n = 22),OCD (n = 20),OCD (n = 20),OCD (n = 20),Mann–Whitney,Mann–Whitney,Mann–Whitney,Effect size
Gender (male:female) (count),Mdn,M,SD,Mdn,M,SD,U,p,z,r
Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics
Age,27.0,28.18,6.66,29,28.80,7.02,206.00,.72,–,–
Years of education,13.0,14.41,2.06,14.5,14.55,2.19,202.50,.63,–,–
Handedness Indexa,100.0,79.09,36.19,100,84.15,44.61,185.00,.31,–,–
Clinical indices,Clinical indices,Clinical indices,Clinical indices,Clinical indices,Clinical indices,Clinical indices,Clinical indices,Clinical indices,Clinical indices,Clinical indices
HDRS,2.0,2.55,1.82,4,5.30,4.61,134.00,.03,− 2.18,− .34
HAM-A,2.5,2.50,1.68,7,7.05,5.91,107.50,.004*,− 2.85,− .44
OCI-R,2.5,3.45,3.33,21,23.20,15.47,18.50,< .001*,− 5.09,− .79
Duration of illness (years),–,–,–,–,8.18,6.59,,,,
Y-BOCS (total),–,–,–,–,19.90,6.61,–,–,–,–
Y-BOCS (obsessions),–,–,–,–,9.70,3.34,–,–,–,–
Y-BOCS (compulsions),–,–,–,–,10.20,3.87,–,–,,
