Seed,Effect,Significant cluster,No. of voxels,Peak MNI coordinates,Brodmann areas
Ventromedial caudate,Familial Risk,"OFC, mPFC, rostral ACC,",143,"−9, 39, −9",11
Ventromedial caudate,Familial Risk,mPFC,21,"9, 36, −15",11
Ventromedial caudate,Familial Risk,mPFC,19,"−6, 66, 6",10
Ventromedial caudate,Stimulant Use,PCC,10,"−3, −24, 42","23, 31"
Ventromedial caudate,Interaction,"IFG, middle frontal gyrus",78,"42, 36, 6","45, 46"
Ventrolateral putamen,Stimulant Use,Insula,126,"−39, 6, −3",48
Ventrolateral putamen,Stimulant Use,Supramarginal gyrus,79,"57, −30, 42",40
Ventrolateral putamen,Stimulant Use,Supramarginal gyrus,57,"−57, −42, 36","39, 40"
Ventrolateral putamen,Interaction,ACC,2,"9, 30, 18","32, 24"
Dorsolateral putamen (posterior),Interaction,Central opercular cortex,35,"57, 3, 9","48, 6"
Dorsolateral putamen (posterior),Interaction,"Superior medial frontal cortex, SMA, cingulate gyrus (middle), insula",10,"0, 12, 45","6, 32"
Dorsolateral putamen (posterior),Interaction,,6,"15, 9, 39","32, 24"
Dorsolateral putamen (posterior),Interaction,,3,"39, 6, 6",13
