Variable,Whole sample (N = 21),Boys (N = 12),Girls (N = 9)
M ± SD (range),M ± SD (range),M ± SD (range),M ± SD (range)
Age from birth (days),26.95 ± 9.01 (11–53),24.50 ± 7.67 (11–36),30.22 ± 10.07 (23–53)
Age from term (days),26.14 ± 6.28 (17–45),23.17 ± 4.26 (17–30),30.11 ± 6.23 (23–45)
Gestational age to imaging (weeks),43.78 ± 0.91 (42.43–46.43),43.39 ± 0.71 (42.43–44.43),44.30 ± 0.93 (43.43–46.43)
Gestational age to birth (weeks),39.93 ± 0.82 (38.14–41.43),39.89 ± 0.85 (38.14–41.14),39.98 ± 0.83 (38.86–41.43)
Offspring birth weight (grammes),3524.76 ± 338.05 (3085–4395),3562.50 ± 295.82 (3105–3980),3474.33 ± 400.45 (3085–4395)
Offspring head circumference when born (cm),35.29 ± 1.22 (33.0–37.5),35.67 ± 1.21 (34.0–37.5),34.78 ± 1.09 (33.0–37.0)
Apgar points at 1 min (MAD),8.38 (1.15),8.08 (1.22),8.78 (0.25)
Apgar points at 5 min (MAD),9.05 (0.46),9.00 (0.49),9.11 (0.40)
Frequencies,Frequencies,Frequencies,Frequencies
Race/ethnicity (Caucasian/other),21/0,12/0,9/0
