ROI1,ROI2,Corresponding network,Connection-level statistics,Simple slope (girls),Simple slope (boys)
PostC (DA-B),PCC3 (R),DMN-A,"t(62) = −4.58, p(FDR) = 0.004","b = 0.16???, SE = 0.04","b = −0.13???, SE = 0.05"
,PCC4 (L),,"t(62) = −4.70, p(FDR) = 0.004","b = 0.15???, SE = 0.04","b = −0.15???, SE = 0.05"
,PFCd3 (L),,"t(62) = −3.76, p(FDR) = 0.016","b = 0.15???, SE = 0.05","b = −0.14???, SE = 0.05"
,IPL2 (L),,"t(62) = −4.38, p(FDR) = 0.005","b = 0.13???, SE = 0.05","b = −0.18???, SE = 0.06"
,IPL2 (R),,"t(62) = −3.93, p(FDR) = 0.013","b = 0.13???, SE = 0.04","b = −0.15???, SE = 0.04"
,IPL2 (R),DMN-C,"t(62) = −3.69, p(FDR) = 0.017","b = 0.18???, SE = 0.05","b = −0.08, SE = 0.05"
,PFCmp1 (R),SAL/VA-B,"t(62) = −4.00, p(FDR) = 0.013","b = 0.13???, SE = 0.05","b = −0.16???, SE = 0.05"
,PFCl3 (R),CON-A,"t(62) = −3.69, p(FDR) = 0.017","b = 0.08, SE = 0.05","b = −0.21???, SE = 0.06"
,IPS1 (L),,"t(62) = −3.90, p(FDR) = 0.013","b = 0.14???, SE = 0.05","b = −0.15???, SE = 0.05"
,PFClv2 (L),CON-B,"t(62) = −3.52, p(FDR) = 0.026","b = 0.1???, SE = 0.04","b = −0.12???, SE = 0.04"
,PFClv4 (R),,"t(62) = −4.52, p(FDR) = 0.004","b = 0.16???, SE = 0.05","b = −0.16???, SE = 0.05"
,PFCd1 (L),,"t(62) = −3.77, p(FDR) = 0.016","b = 0.14???, SE = 0.05","b = −0.16???, SE = 0.06"
,PFCld4 (R),,"t(62) = −3.49, p(FDR) = 0.026","b = 0.14???, SE = 0.07","b = −0.2???, SE = 0.07"
,PFCmp1 (L),,"t(62) = −3.89, p(FDR) = 0.013","b = 0.09???, SE = 0.04","b = −0.14???, SE = 0.04"
