Group,Group,Cluster Name,Cluster size,Unnamed: 4_level_0,ClusterP- value,Paxinos coordinate(mm),Paxinos coordinate(mm),Paxinos coordinate(mm)
Group,Group.1,Cluster Name,Cluster size,Unnamed: 4_level_1,ClusterP- value,X Y Z,X Y Z.1,X Y Z.2
ANOVA,ANOVA,,,Peak F value,,,,
E vs. FE vs. H vs. T,ALFF,S1Tr,151.0,9.83,0.486,4.0,1.0,-3.0
E vs. FE vs. H vs. T,ALFF,M2,200.0,10.80,0.484,2.0,2.0,4.0
E vs. FE vs. H vs. T,ALFF,6a,121.0,10.20,0.484,-1.0,3.0,-13.0
E vs. FE vs. H vs. T,ALFF,M1,173.0,9.49,0.532,-3.0,2.0,3.0
E vs. FE vs. H vs. T,ReHo,FrA(L),158.0,21.41,0.022,-2.0,3.0,5.0
E vs. FE vs. H vs. T,ReHo,FrA(R),131.0,18.30,0.078,2.0,3.0,5.0
E vs. FE vs. H vs. T,ReHo,Crus2,194.0,22.65,0.014,-1.0,4.0,-13.0
T-test,T-test,,,Peak t value,,,,
E vs. FE,ALFF,FrA,297.0,5.48,0.127,-1.0,2.0,4.0
E vs. FE,ALFF,M2,193.0,5.06,0.359,3.0,3.0,4.0
E vs. FE,ALFF,M1,157.0,4.99,0.536,5.0,4.0,3.0
E vs. FE,ReHo,S1J,110.0,7.40,0.873,5.0,4.0,2.0
E vs. FE,ReHo,M1,58.0,4.54,0.873,3.0,2.0,3.0
E vs. H,ALFF,VA,156.0,7.36,0.202,-2.0,6.0,-2.0
E vs. H,ALFF,pcuf,287.0,6.07,0.091,-4.0,5.0,-11.0
E vs. H,ALFF,M2,260.0,5.70,0.106,-1.0,1.0,3.0
E vs. H,ReHo,M2,179.0,18.82,0.024,2.0,2.0,4.0
E vs. H,ReHo,PrL,355.0,17.83,0.001,-1.0,3.0,4.0
E vs. T,ALFF,M1,53.0,7.04,0.918,4.0,2.0,3.0
E vs. T,ReHo,M1,234.0,16.04,0.024,4.0,2.0,3.0
T vs. H,ALFF,CPu,459.0,31.27,0.0001058,-2.0,4.0,1.0
T vs. H,ReHo,Or,205.0,22.40,2.967e-05,4.0,3.0,-4.0
T vs. H,ReHo,cg,162.0,17.04,0.0001439,-2.0,2.0,-4.0
