Unnamed: 0,Center A,Center B,Center C,Center D
VN,r = 0.03 (0.57)R2 = 0.001,r = − 0.01 (0.89)R2 = 0.0001,r = 0.09 (0.34)R2 = 0.009,r = 0.09 (0.72)R2 = 0.008
SMN,r = − 0.11 (0.04)R2 = 0.012,r = − 0.06 (0.38)R2 = 0.003,r = − 0.15 (0.13)R2 = 0.021,r = − 0.57 (0.01)R2 = 0.327
DAN,r = − 0.10 (0.08)R2 = 0.010,r = − 0.10 (0.15)R2 = 0.009,r = − 0.19 (0.04)R2 = 0.037,r = − 0.14 (0.59)R2 = 0.019
VAN,r = − 0.13 (0.02)R2 = 0.017,r = − 0.11 (0.10)R2 = 0.012,r = − 0.07 (0.48)R2 = 0.005,r = − 0.02 (0.94)R2 = 0.0003
LN,r = − 0.12 (0.03)R2 = 0.015,r = − 0.04 (0.59)R2 = 0.001,r = − 0.12 (0.23)R2 = 0.013,r = − 0.27 (0.28)R2 = 0.071
FPN,r = 0.02 (0.78)R2 = 0.00023,r = 0.06 (0.38)R2 = 0.003,r = − 0.04 (0.69)R2 = 0.002,r = 0.35 (0.16)R2 = 0.121
DMN,r = − 0.09 (0.09)R2 = 0.009,r = − 0.01 (0.88)R2 = 0.0001,r = − 0.03 (0.73)R2 = 0.001,r = 0.07 (0.77)R2 = 0.006
ALFF,r = − 0.14 (0.01)R2 = 0.020,r = − 0.27 (< 0.01)R2 = 0.074,r = − 0.15 (0.12)R2 = 0.023,r = 0.26 (0.29)R2 = 0.070
ReHo,r = − r = − 0.15 (0.01)R2 = 0.024,r = − 0.28 (< 0.01)R2 = 0.077,r = − 0.14 (0.14)R2 = 0.021,r = − 0.23 (0.36)R2 = 0.052
DC,r = − 0.08 (0.16)R2 = 0.006,r = − 0.11 (0.08)R2 = 0.013,r = − 0.13 (0.18)R2 = 0.017,r = − 0.23 (0.36)R2 = 0.053
